display_name,canonical_wikipedia_url,primary_era_bucket,current_trust_rank,current_weighted_rank,trust_rank_before_verification,weighted_rank_before_verification,trust_rank_delta,weighted_rank_delta,trust_tier_current,trust_tier_before_verification,trust_confidence_current,trust_confidence_before_verification,strict_engagement_count_current,strict_engagement_count_before_verification,page_type_mix_current,page_type_mix_before_verification,known_outcome_count_current,known_outcome_count_before_verification,outcome_profile_current,outcome_profile_before_verification,structurally_suspect_rows,broad_or_downgraded_rows,quarantined_rows,verification_sensitivity,inflation_risk_band,risk_score,structural_risk_notes,outcome_risk_notes,manual_outcome_audit_priority
Mikhail Kutuzov,https://en.wikipedia.org/wiki/Mikhail_Kutuzov,revolutionary_napoleonic,19,17,19,20,0,-3,model_sensitive_band,model_sensitive_band,caution,caution,13,16,B=11; O=0; C=0; W=2,B=10; O=0; C=0; W=6,9,11,V=7; D=2; N=0; U=4,V=9; D=2; N=0; U=5,1,3,0,moderate,high_priority_manual_audit,19,1 structurally suspect rows; 3 downgraded broad rows; war-page reduction 6→2; strict engagements reduced by 3,multiple surviving battle pages still unresolved; headline rank with softened trust confidence,yes
Fyodor Tolbukhin,https://en.wikipedia.org/wiki/Fyodor_Tolbukhin,world_wars,47,49,58,81,-11,-32,model_sensitive_band,model_sensitive_band,caution,caution,13,16,B=5; O=8; C=0; W=0,B=5; O=11; C=0; W=0,10,12,V=10; D=0; N=0; U=3,V=11; D=1; N=0; U=4,0,4,0,high,materially_inflated,19,4 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,clean record with unresolved battle outcomes,no
Stefan Czarniecki,https://en.wikipedia.org/wiki/Stefan_Czarniecki,early_modern,84,185,65,158,19,27,model_sensitive_band,model_sensitive_band,caution,caution,24,29,,,18,22,,,1,4,0,high,materially_inflated,19,1 structurally suspect rows; 4 downgraded broad rows; strict engagements reduced by 5; rank moved materially after verification,known outcomes dropped by 4,no
Ivan Bagramyan,https://en.wikipedia.org/wiki/Ivan_Bagramyan,world_wars,90,70,135,111,-45,-41,model_sensitive_band,outside_trust_headline,caution,caution,11,15,,,6,9,,,0,6,0,high,materially_inflated,19,6 downgraded broad rows; strict engagements reduced by 4; rank moved materially after verification,known outcomes dropped by 3,no
William I of the Netherlands,https://en.wikipedia.org/wiki/William_I_of_the_Netherlands,revolutionary_napoleonic,125,228,81,160,44,68,outside_trust_headline,model_sensitive_band,caution,caution,10,14,,,9,12,,,0,5,0,high,materially_inflated,19,5 downgraded broad rows; strict engagements reduced by 4; rank moved materially after verification,known outcomes dropped by 3,no
Theodoros Kolokotronis,https://en.wikipedia.org/wiki/Theodoros_Kolokotronis,long_nineteenth_century,162,73,136,56,26,17,outside_trust_headline,outside_trust_headline,caution,caution,5,8,,,4,7,,,0,3,0,high,materially_inflated,19,3 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,known outcomes dropped by 3,no
Ivan Paskevich,https://en.wikipedia.org/wiki/Ivan_Paskevich,long_nineteenth_century,15,9,10,7,5,2,model_sensitive_band,model_sensitive_band,caution,caution,9,11,B=7; O=0; C=0; W=2,B=7; O=0; C=0; W=4,8,10,V=7; D=1; N=0; U=1,V=9; D=1; N=0; U=1,0,2,0,moderate,structurally_clean,18,2 downgraded broad rows; war-page reduction 4→2; rank moved materially after verification,headline rank with softened trust confidence,no
Stepa Stepanović,https://en.wikipedia.org/wiki/Stepa_Stepanovi%C4%87,world_wars,40,39,24,16,16,23,model_sensitive_band,model_sensitive_band,caution,caution,12,14,B=6; O=4; C=0; W=2,B=6; O=3; C=2; W=3,7,8,V=6; D=1; N=0; U=5,V=8; D=0; N=0; U=6,2,2,0,high,materially_inflated,18,2 structurally suspect rows; 2 downgraded broad rows; war-page reduction 3→2; campaign reduction 2→0; rank moved materially after verification,,no
Charles-Pierre Augereau,https://en.wikipedia.org/wiki/Charles-Pierre_Augereau,revolutionary_napoleonic,46,89,26,45,20,44,model_sensitive_band,model_sensitive_band,caution,caution,29,32,B=24; O=0; C=0; W=5,B=23; O=0; C=4; W=5,26,28,V=20; D=6; N=0; U=3,V=22; D=6; N=0; U=4,3,1,0,high,materially_inflated,18,3 structurally suspect rows; 1 downgraded broad rows; campaign reduction 4→0; strict engagements reduced by 3; rank moved materially after verification,,no
Jan Karol Chodkiewicz,https://en.wikipedia.org/wiki/Jan_Karol_Chodkiewicz,early_modern,56,65,47,52,9,13,model_sensitive_band,high_confidence_upper_band,moderate,moderate,12,16,B=12; O=0; C=0; W=0,B=12; O=0; C=0; W=4,9,10,V=8; D=1; N=0; U=3,V=9; D=1; N=0; U=6,1,3,0,high,materially_inflated,18,1 structurally suspect rows; 3 downgraded broad rows; war-page reduction 4→0; strict engagements reduced by 4; rank moved materially after verification,,no
Agha Petros,https://en.wikipedia.org/wiki/Agha_Petros,world_wars,64,68,195,183,-131,-115,model_sensitive_band,outside_trust_headline,caution,caution,6,9,B=6; O=0; C=0; W=0,,5,6,V=5; D=0; N=0; U=1,,0,5,0,high,materially_inflated,18,5 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,,no
Nikolai Yudenich,https://en.wikipedia.org/wiki/Nikolai_Yudenich,world_wars,89,130,99,134,-10,-4,model_sensitive_band,model_sensitive_band,caution,caution,10,12,,,8,9,,,2,2,0,high,materially_inflated,18,2 structurally suspect rows; 2 downgraded broad rows; rank moved materially after verification,,no
Yamagata Aritomo,https://en.wikipedia.org/wiki/Yamagata_Aritomo,long_nineteenth_century,116,59,101,48,15,11,outside_trust_headline,outside_trust_headline,caution,caution,9,10,,B=6; O=0; C=0; W=4,6,7,,V=7; D=0; N=0; U=3,1,0,0,high,materially_inflated,18,1 structurally suspect rows; war-page reduction 4→0; rank moved materially after verification,victory count dropped by 7,no
Heraclius,https://en.wikipedia.org/wiki/Heraclius,medieval,119,204,105,164,14,40,outside_trust_headline,outside_trust_headline,caution,caution,12,14,,,12,13,,,3,1,0,high,materially_inflated,18,3 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
Rodolfo Graziani,https://en.wikipedia.org/wiki/Rodolfo_Graziani,world_wars,135,213,132,209,3,4,outside_trust_headline,outside_trust_headline,caution,caution,11,14,,,5,9,,,3,2,0,moderate,materially_inflated,18,3 structurally suspect rows; 2 downgraded broad rows; strict engagements reduced by 3,known outcomes dropped by 4,no
Jean-de-Dieu Soult,https://en.wikipedia.org/wiki/Jean-de-Dieu_Soult,revolutionary_napoleonic,163,339,149,309,14,30,outside_trust_headline,outside_trust_headline,caution,caution,46,50,,,38,42,,,5,0,0,high,materially_inflated,18,5 structurally suspect rows; strict engagements reduced by 4; rank moved materially after verification,known outcomes dropped by 4,no
Stanisław Rewera Potocki,https://en.wikipedia.org/wiki/Stanis%C5%82aw_Rewera_Potocki,early_modern,180,318,161,282,19,36,outside_trust_headline,outside_trust_headline,caution,caution,14,18,,,8,11,,,1,3,0,high,materially_inflated,18,1 structurally suspect rows; 3 downgraded broad rows; strict engagements reduced by 4; rank moved materially after verification,known outcomes dropped by 3,no
George Washington,https://en.wikipedia.org/wiki/George_Washington,early_modern,196,413,184,400,12,13,outside_trust_headline,outside_trust_headline,caution,caution,20,24,,,17,17,,,4,1,0,high,materially_inflated,18,4 structurally suspect rows; 1 downgraded broad rows; strict engagements reduced by 4; rank moved materially after verification,,no
Petar Bojović,https://en.wikipedia.org/wiki/Petar_Bojovi%C4%87,long_nineteenth_century,21,15,30,17,-9,-2,model_sensitive_band,model_sensitive_band,caution,caution,9,11,B=4; O=3; C=0; W=2,B=4; O=3; C=1; W=3,7,8,V=7; D=0; N=0; U=2,V=8; D=0; N=0; U=3,0,3,0,moderate,mildly_inflated,17,3 downgraded broad rows; war-page reduction 3→2; campaign reduction 1→0; rank moved materially after verification,headline rank with softened trust confidence,no
Rodion Malinovsky,https://en.wikipedia.org/wiki/Rodion_Malinovsky,world_wars,49,69,49,71,0,-2,model_sensitive_band,model_sensitive_band,caution,caution,16,22,B=8; O=7; C=0; W=1,B=8; O=13; C=0; W=1,12,15,V=11; D=1; N=0; U=4,V=13; D=2; N=0; U=7,0,7,0,moderate,high_priority_manual_audit,17,7 downgraded broad rows; strict engagements reduced by 6,known outcomes dropped by 3; multiple surviving battle pages still unresolved,yes
Frederick the Great,https://en.wikipedia.org/wiki/Frederick_the_Great,early_modern,54,97,46,83,8,14,model_sensitive_band,model_sensitive_band,caution,caution,26,28,,B=21; O=0; C=0; W=7,23,24,,V=18; D=6; N=0; U=4,1,1,0,high,materially_inflated,17,1 structurally suspect rows; 1 downgraded broad rows; war-page reduction 7→0; rank moved materially after verification,victory count dropped by 18,no
Dragut,https://en.wikipedia.org/wiki/Dragut,early_modern,55,60,112,90,-57,-30,model_sensitive_band,outside_trust_headline,caution,caution,8,10,,,6,7,,,1,2,0,high,materially_inflated,17,1 structurally suspect rows; 2 downgraded broad rows; rank moved materially after verification,,no
Shapur I,https://en.wikipedia.org/wiki/Shapur_I,ancient,71,103,69,101,2,2,model_sensitive_band,model_sensitive_band,caution,caution,13,17,,,9,10,,,4,1,0,moderate,materially_inflated,17,4 structurally suspect rows; 1 downgraded broad rows; strict engagements reduced by 4,,no
Jerzy Sebastian Lubomirski,https://en.wikipedia.org/wiki/Jerzy_Sebastian_Lubomirski,early_modern,103,98,87,86,16,12,outside_trust_headline,model_sensitive_band,caution,moderate,7,9,,,6,8,,,1,1,0,high,materially_inflated,17,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
Henry Maitland Wilson,https://en.wikipedia.org/wiki/Henry_Maitland_Wilson,world_wars,134,150,122,116,12,34,outside_trust_headline,outside_trust_headline,caution,caution,7,9,,,7,8,,,1,2,0,high,materially_inflated,17,1 structurally suspect rows; 2 downgraded broad rows; rank moved materially after verification,,no
"Frederick Henry, Prince of Orange",https://en.wikipedia.org/wiki/Frederick_Henry%2C_Prince_of_Orange,early_modern,143,171,169,224,-26,-53,outside_trust_headline,outside_trust_headline,caution,caution,10,12,,,9,8,,,2,1,0,high,materially_inflated,17,2 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
