"row_number","wikipedia_title","battle_id","status","issue_count","internal_issue_count","stable_mismatch_count","diagnostic_mismatch_count","issue_types","stable_mismatch_fields","diagnostic_mismatch_fields","live_title","live_pageid","live_fetch_mode","notes"
"14711","Northwestern Syria offensive (April–June 2015)","battle_46510596","needs_review","23","0","18","5","","date_raw|latitude|longitude|result_raw|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|casualties_side_c_raw|strength_side_a_min|strength_side_b_min|casualties_side_a_min|casualties_side_b_min|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories","Northwestern Syria offensive (April–June 2015)","46510596","wikitext_batch",""
"14717","Qalamoun offensive (May–June 2015)","battle_46679874","needs_review","24","0","19","5","","date_raw|location_raw|location_normalized|latitude|longitude|result_raw|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_b_min|casualties_side_a_min|casualties_side_b_min|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories","Qalamoun offensive (May–June 2015)","46679874","wikitext_batch",""
"14721","Shabwah campaign","battle_46357714","needs_review","17","1","6","10","missing_commanders","date_raw|location_raw|location_normalized|belligerent_1_raw|belligerent_2_raw|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family|extraction_confidence","Shabwah campaign","46357714","wikitext_batch",""
"14730","2016 Burkina Faso coup attempt","battle_54993041","needs_review","17","1","12","4","rejected_candidate","date_raw|start_date|end_date|location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","2016 Burkina Faso coup attempt","54993041","full_parse_fallback",""
"14731","2016 Indian Line of Control strike","battle_57296273","needs_review","26","1","21","4","rejected_candidate","date_raw|start_date|war_name|location_raw|location_normalized|result_raw|belligerent_1_raw|belligerent_2_raw|belligerent_3_raw|commander_side_a_raw|commander_side_b_raw|commander_side_c_raw|casualties_side_a_raw|casualties_side_b_raw|casualties_side_c_raw|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","2016 Indian Line of Control strike","57296273","full_parse_fallback",""
"14733","2016 Nampala attack","battle_51124681","needs_review","26","1","21","4","rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","2016 Nampala attack","51124681","full_parse_fallback",""
"14735","2016 Turkish coup d'état attempt","battle_51082294","needs_review","31","1","26","4","rejected_candidate","date_raw|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|casualties_side_c_raw|strength_side_a_min|strength_side_a_max|strength_side_b_min|strength_side_b_max|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","2016 Turkish coup d'état attempt","51082294","full_parse_fallback",""
"14737","2016 recapture of El Chapo","battle_49842103","needs_review","26","1","17","8","rejected_candidate","war_name|location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|infobox_present|notes","acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family|extraction_confidence","2016 recapture of El Chapo","49842103","full_parse_fallback",""
"14739","2016–2019 Wau clashes","battle_51057266","needs_review","33","1","24","8","rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_a_max|strength_side_b_min|strength_side_b_max|casualties_side_a_min|casualties_side_a_max|infobox_present","page_type_confidence|classification_notes|acceptance_reason|list_page_origin|parent_list_page|discovery_root|source_family|extraction_confidence","2016–2019 Wau clashes","51057266","full_parse_fallback",""
"14742","Battle of Ben Guerdane","battle_49674922","needs_review","20","1","14","5","missing_commanders","date_raw|location_raw|location_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_b_raw|strength_side_a_raw|casualties_side_a_raw|casualties_side_b_raw|casualties_side_c_raw|strength_side_a_min|casualties_side_a_min|casualties_side_b_min|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories","Battle of Ben Guerdane","49674922","wikitext_batch",""
"14746","Battle of Juba (2016)","battle_51034100","needs_review","20","0","11","9","","location_raw|location_normalized|result_raw|belligerent_2_raw|commander_side_a_raw|strength_side_b_raw|casualties_side_c_raw|strength_side_b_min|strength_side_b_max|battle_type|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family","Battle of Juba (2016)","51034100","wikitext_batch",""
"14754","Battle of Tsorona","battle_50874127","needs_review","18","0","13","5","","date_raw|location_raw|location_normalized|latitude|longitude|result_raw|commander_side_a_raw|commander_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|casualties_side_a_min|casualties_side_b_min|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories","Battle of Tsorona","50874127","wikitext_batch",""
"14764","Muse offensive","battle_57309838","needs_review","15","1","8","6","missing_commanders","date_raw|location_raw|location_normalized|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|casualties_side_c_raw|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories|extraction_confidence","Muse offensive","57309838","wikitext_batch",""
"14765","Nangarhar offensive (2016)","battle_49662049","needs_review","27","1","17","9","missing_commanders","date_raw|location_raw|location_normalized|latitude|longitude|result_raw|belligerent_1_raw|commander_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|casualties_side_c_raw|strength_side_b_min|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family","Nangarhar offensive (2016)","49662049","wikitext_batch",""
"14767","Operation Euphrates Shield","battle_51407035","needs_review","28","1","22","5","missing_commanders","date_raw|end_date|war_name|location_raw|location_normalized|latitude|longitude|result_raw|belligerent_1_raw|belligerent_3_raw|commander_side_a_raw|commander_side_b_raw|commander_side_c_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|casualties_side_c_raw|strength_side_b_min|casualties_side_a_min|casualties_side_b_min|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories","Operation Euphrates Shield","51407035","wikitext_batch",""
"14772","Pool War","battle_53756873","needs_review","16","1","9","6","missing_field","date_raw|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_2_raw|casualties_side_c_raw|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories|extraction_confidence","Pool War","53756873","wikitext_batch",""
"14780","Wadi Barada offensive (2016–2017)","battle_52700953","needs_review","25","0","16","9","","date_raw|location_raw|location_normalized|result_raw|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|casualties_side_c_raw|strength_side_a_min|casualties_side_b_min|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family","Wadi Barada offensive (2016–2017)","52700953","wikitext_batch",""
"14783","2017 Bohol clashes","battle_53784438","needs_review","32","1","27","4","rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|latitude|longitude|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|casualties_side_c_raw|strength_side_a_min|strength_side_a_max|strength_side_b_min|strength_side_b_max|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","2017 Bohol clashes","53784438","full_parse_fallback",""
"14784","2017 Brazil prison riots","battle_52761650","needs_review","6","1","4","1","rejected_candidate","date_raw|start_date|end_date|infobox_present","extraction_confidence","2017 Brazil prison riots","52761650","full_parse_fallback",""
"14786","2017 China–India border standoff","battle_54678091","needs_review","18","1","13","4","rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|result_raw|belligerent_1_raw|belligerent_2_raw|casualties_side_a_raw|casualties_side_b_raw|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","2017 China–India border standoff","54678091","full_parse_fallback",""
"14787","2017 Iraqi–Kurdish conflict","battle_55545589","needs_review","19","0","14","5","","date_raw|result_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|casualties_side_c_raw|strength_side_a_min|strength_side_b_min|casualties_side_b_min|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories","2017 Iraqi–Kurdish conflict","55545589","wikitext_batch",""
