display_name,canonical_wikipedia_url,battle_id,battle_name,wikipedia_title,page_type,side,belligerent,old_outcome_category,new_outcome_category,page_result_type,page_result_raw,override_justification,override_evidence_basis
Saladin,https://en.wikipedia.org/wiki/Saladin,battle_16477218,Battle of al-Fule,Battle of al-Fule,battle_article,side_b,Ayyubid Sultanate,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Philip II of France,https://en.wikipedia.org/wiki/Philip_II_of_France,battle_28963590,Siege of Château Gaillard,Siege of Château Gaillard,battle_article,side_a,Kingdom of France,unknown,victory,victory,French victory Normandy is formally annexed to the crown lands of France.,Retained page result begins with `french` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=French victory Normandy is formally annexed to the crown lands of France.
"John, King of England",https://en.wikipedia.org/wiki/John%2C_King_of_England,battle_28963590,Siege of Château Gaillard,Siege of Château Gaillard,battle_article,side_b,Duchy of Normandy Kingdom of England,unknown,defeat,victory,French victory Normandy is formally annexed to the crown lands of France.,Retained page result begins with `french` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=French victory Normandy is formally annexed to the crown lands of France.
"Raymond VI, Count of Toulouse",https://en.wikipedia.org/wiki/Raymond_VI%2C_Count_of_Toulouse,battle_81799883,Siege of Castelnaudary,Siege of Castelnaudary,battle_article,side_b,County of Toulouse County of Foix Viscounty of Béarn,unknown,defeat,victory,Crusader victory,Retained page result begins with `crusader` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Crusader victory
"Raymond VI, Count of Toulouse",https://en.wikipedia.org/wiki/Raymond_VI%2C_Count_of_Toulouse,battle_81560194,Siege of Lavaur,Siege of Lavaur,battle_article,side_b,Lordship of Lavaur,unknown,defeat,victory,Crusader victory,Retained page result begins with `crusader` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Crusader victory
Ögedei Khan,https://en.wikipedia.org/wiki/%C3%96gedei_Khan,battle_70565233,Battle of Daohuigu,Battle of Daohuigu,battle_article,side_a,Mongol Empire,unknown,defeat,victory,Jin victory,Retained page result begins with `jin` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Jin victory
Tolui,https://en.wikipedia.org/wiki/Tolui,battle_70565233,Battle of Daohuigu,Battle of Daohuigu,battle_article,side_a,Mongol Empire,unknown,defeat,victory,Jin victory,Retained page result begins with `jin` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Jin victory
Subutai,https://en.wikipedia.org/wiki/Subutai,battle_70565233,Battle of Daohuigu,Battle of Daohuigu,battle_article,side_a,Mongol Empire,unknown,defeat,victory,Jin victory,Retained page result begins with `jin` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Jin victory
Subutai,https://en.wikipedia.org/wiki/Subutai,battle_41335403,Siege of Kaifeng (1232),Siege of Kaifeng (1232),battle_article,side_b,Mongol Empire,unknown,victory,victory,Mongol victory Emperor Aizong flees to Caizhou,Retained page result begins with `mongol` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Mongol victory Emperor Aizong flees to Caizhou
Tolui,https://en.wikipedia.org/wiki/Tolui,battle_41335403,Siege of Kaifeng (1232),Siege of Kaifeng (1232),battle_article,side_b,Mongol Empire,unknown,victory,victory,Mongol victory Emperor Aizong flees to Caizhou,Retained page result begins with `mongol` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Mongol victory Emperor Aizong flees to Caizhou
