display_name,canonical_wikipedia_url,primary_era_bucket,rank_baseline_conservative,rank_battle_only_baseline,rank_hierarchical_trust_v2,rank_hierarchical_weighted,rank_hierarchical_full_credit,rank_hierarchical_equal_split,rank_hierarchical_broader_eligibility,score_baseline_conservative,score_hierarchical_trust_v2,score_hierarchical_weighted,trust_tier_v2,trust_confidence_v2,trust_headline_reason_v2,total_engagements_strict,total_battle_pages_strict,distinct_conflicts_strict,distinct_opponents_strict,known_outcome_count,outcome_profile_summary,page_type_exposure_summary,page_type_profile_class,stability_label,caution_flags
Tolui,https://en.wikipedia.org/wiki/Tolui,medieval,91.0,104.0,49.0,31.0,31.0,32.0,26.0,76.76696542893725,78.4714151827554,80.04951577631991,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",10,7,6,5,10,V=9; D=1; N=0; U=0,B=7; O=0; C=0; W=3,battle_dominant,highly_model_sensitive,
Fedor von Bock,https://en.wikipedia.org/wiki/Fedor_von_Bock,world_wars,58.0,22.0,50.0,68.0,73.0,64.0,65.0,82.28553137003841,78.41705716963448,75.47953764448609,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",18,13,15,14,13,V=11; D=2; N=0; U=5,B=13; O=5; C=0; W=0,battle_dominant,highly_model_sensitive,
Jean Victor Marie Moreau,https://en.wikipedia.org/wiki/Jean_Victor_Marie_Moreau,revolutionary_napoleonic,23.0,41.0,51.0,71.0,118.0,67.0,48.0,90.45454545454547,78.28022492970948,75.26319900031241,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",22,22,13,21,21,V=15; D=5; N=1; U=1,B=22; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Ōyama Iwao,https://en.wikipedia.org/wiki/%C5%8Cyama_Iwao,long_nineteenth_century,88.0,72.0,52.0,23.0,18.0,40.0,47.0,77.15749039692703,78.18931583880037,81.42236800999687,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",10,8,5,4,9,V=8; D=0; N=1; U=1,B=8; O=0; C=0; W=2,battle_dominant,highly_model_sensitive,
Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,medieval,13.0,11.0,53.0,36.0,35.0,33.0,22.0,93.30345710627401,78.00281162136832,79.65745079662605,model_sensitive_band,moderate,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",12,12,6,6,10,V=10; D=0; N=0; U=2,B=12; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Mahmud Pasha Angelović,https://en.wikipedia.org/wiki/Mahmud_Pasha_Angelovi%C4%87,medieval,20.0,21.0,54.0,52.0,65.0,57.0,12.0,92.02304737516005,77.98313027179006,77.52233676975945,model_sensitive_band,moderate,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",11,11,10,13,10,V=9; D=1; N=0; U=1,B=11; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Maeda Toshiie,https://en.wikipedia.org/wiki/Maeda_Toshiie,early_modern,48.0,62.0,55.0,44.0,53.0,108.0,85.0,84.16773367477593,77.9821930646673,78.27975632614809,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",11,10,4,11,10,V=8; D=1; N=1; U=1,B=10; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
Walter Krueger,https://en.wikipedia.org/wiki/Walter_Krueger,world_wars,19.0,27.0,56.0,48.0,48.0,51.0,73.0,92.02624839948783,77.98031865042176,77.85926273039676,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",12,9,9,3,12,V=12; D=0; N=0; U=0,B=9; O=3; C=0; W=0,battle_dominant,highly_model_sensitive,
Oliver Cromwell,https://en.wikipedia.org/wiki/Oliver_Cromwell,early_modern,86.0,34.0,57.0,55.0,59.0,43.0,54.0,77.27912932138283,77.86504217432054,77.09871915026555,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",19,15,9,18,6,V=6; D=0; N=0; U=13,B=15; O=0; C=0; W=4,battle_dominant,highly_model_sensitive,
Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,medieval,10.0,15.0,58.0,50.0,57.0,73.0,35.0,95.59859154929578,77.29147141518277,77.65588878475477,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",13,12,3,7,13,V=12; D=1; N=0; U=0,B=12; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
