row_number,commander_id,name_primary,wikipedia_page,status,blocker_count,blockers
7518,cmd_410c80c10a7d,"Erchanger, Duke of Swabia",https://en.wikipedia.org/wiki/Erchanger%2C_Duke_of_Swabia,ok,0,
7519,cmd_8851f08869e4,Ercole I d'Este,https://en.wikipedia.org/wiki/Ercole_I_d%27Este,ok,0,
7520,cmd_b8f1a5896caf,Ercole Miani,https://en.wikipedia.org/wiki/Ercole_Miani,ok,0,
7521,cmd_6840f77fa7f9,Ercüment Tatlıoğlu,https://en.wikipedia.org/wiki/Erc%C3%BCment_Tatl%C4%B1o%C4%9Flu,ok,0,
7522,cmd_4048ef3f004c,Erdal Ceylanoğlu,https://en.wikipedia.org/wiki/Erdal_Ceylano%C4%9Flu,ok,0,
7523,cmd_53f8463b989c,Erdeni Batur,https://en.wikipedia.org/wiki/Erdeni_Batur,ok,0,
7524,cmd_16df774b08ec,Eremia Grigorescu,https://en.wikipedia.org/wiki/Eremia_Grigorescu,ok,0,
7525,cmd_b5e70d3a9015,Erengisle Nilsson,,ok,0,
7526,cmd_48fd87d12f70,Erentei,https://en.wikipedia.org/wiki/Erentei,ok,0,
7527,cmd_9839fd93ac08,Erez Gerstein,https://en.wikipedia.org/wiki/Erez_Gerstein,ok,0,
7528,cmd_36524e314612,Erfan al-Hiyali,https://en.wikipedia.org/wiki/Erfan_al-Hiyali,ok,0,
7529,cmd_99036b389663,Ergin Celasin,https://en.wikipedia.org/wiki/Ergin_Celasin,ok,0,
7530,cmd_92a8d21c50eb,Erhard Raus,https://en.wikipedia.org/wiki/Erhard_Raus,ok,0,
7531,cmd_74b366f4d03d,Eric Bloodaxe,https://en.wikipedia.org/wiki/Eric_Bloodaxe,ok,0,
7532,cmd_f7228603be0b,Eric Bols,https://en.wikipedia.org/wiki/Eric_Bols,ok,0,
7533,cmd_555553fdd5a8,Eric Feldt,https://en.wikipedia.org/wiki/Eric_Feldt,ok,0,
7534,cmd_1f9d9fa648e8,Eric Gore-Browne,https://en.wikipedia.org/wiki/Eric_Gore-Browne,ok,0,
7535,cmd_a37b41fa83b9,"Eric I, Duke of Brunswick-Lüneburg",https://en.wikipedia.org/wiki/Eric_I%2C_Duke_of_Brunswick-L%C3%BCneburg,ok,0,
7536,cmd_c1467308c9bb,Eric II of Denmark,https://en.wikipedia.org/wiki/Eric_II_of_Denmark,ok,0,
7537,cmd_2b02ed86d3f8,Eric II of Norway,https://en.wikipedia.org/wiki/Eric_II_of_Norway,ok,0,
7538,cmd_b2cbf657315f,"Eric II, Duke of Pomerania",https://en.wikipedia.org/wiki/Eric_II%2C_Duke_of_Pomerania,ok,0,
7539,cmd_4c31aa59b181,Eric III of Denmark,https://en.wikipedia.org/wiki/Eric_III_of_Denmark,ok,0,
7540,cmd_408d2b4bb2a2,Eric John Eagles Swayne,https://en.wikipedia.org/wiki/Eric_John_Eagles_Swayne,ok,0,
7541,cmd_73396eed8d38,Eric of Friuli,https://en.wikipedia.org/wiki/Eric_of_Friuli,ok,0,
7542,cmd_916d4eb0e168,Eric T. Hill,https://en.wikipedia.org/wiki/Eric_T._Hill,ok,0,
7543,cmd_655ead049a20,Eric the Victorious,https://en.wikipedia.org/wiki/Eric_the_Victorious,ok,0,
7544,cmd_f130e07e3b6f,Eric VI of Denmark,https://en.wikipedia.org/wiki/Eric_VI_of_Denmark,ok,0,
7545,cmd_3365ec58c05f,Erich Abraham,https://en.wikipedia.org/wiki/Erich_Abraham,ok,0,
7546,cmd_b10c381c8b94,Erich Bey,https://en.wikipedia.org/wiki/Erich_Bey,ok,0,
7547,cmd_139dc5cca1cd,Erich Brandenberger,https://en.wikipedia.org/wiki/Erich_Brandenberger,ok,0,
7548,cmd_6bae72d7475e,Erich Diestel,https://en.wikipedia.org/wiki/Erich_Diestel,ok,0,
7549,cmd_661ce63b82af,Erich Hoepner,https://en.wikipedia.org/wiki/Erich_Hoepner,ok,0,
7550,cmd_56bd08c1233d,Erich Honecker,https://en.wikipedia.org/wiki/Erich_Honecker,ok,0,
7551,cmd_a6f78fcb4994,Erich Ludendorff,https://en.wikipedia.org/wiki/Erich_Ludendorff,ok,0,
7552,cmd_460d35003ae8,Erich Marcks,https://en.wikipedia.org/wiki/Erich_Marcks,ok,0,
7553,cmd_33c3154f6ab4,Erich Raeder,https://en.wikipedia.org/wiki/Erich_Raeder,ok,0,
7554,cmd_952c4650c25c,Erich von dem Bach-Zelewski,https://en.wikipedia.org/wiki/Erich_von_dem_Bach-Zelewski,ok,0,
7555,cmd_3b9cda1a34fe,Erich von Falkenhayn,https://en.wikipedia.org/wiki/Erich_von_Falkenhayn,ok,0,
7556,cmd_536e46452bf1,Erich von Manstein,https://en.wikipedia.org/wiki/Erich_von_Manstein,ok,0,
7557,cmd_94bf1b139f92,Erich Weber,https://en.wikipedia.org/wiki/Erich_Weber,ok,0,
