analytic_commander_id,display_name,page_type,raw_score_contribution,weighted_score_contribution,absolute_weighted_score_contribution,weighted_presence,known_outcome_rows,engagement_rows,unknown_outcome_rows,total_absolute_weighted_score_contribution,share_of_total_score
acmd_0112c57be1bb,Rifat Burdžović,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_01160d3e3079,Jeremiah C. Sullivan,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_0116dede9dfe,Miklós Bercsényi,battle_article,0.0,0.0,0.0,2.0,0,2,2,0.0,0.0
acmd_01179005c767,Karim Khan,battle_article,-0.8,-0.8,0.8,1.0,1,1,0,0.8,1.0
acmd_011a2301c36c,Takeda Motoshige,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_011a3fd67a40,Robert Broadwood,battle_article,0.46188,0.46188,0.46188,2.0,1,2,1,0.46188000000000007,1.0
acmd_011ae31e4ca7,Minamoto no Yoshitomo,battle_article,0.8,0.8,0.8,2.0,1,2,1,0.8,1.0
acmd_011ae31e4ca7,Minamoto no Yoshitomo,war_conflict_article,0.0,0.0,0.0,0.7,0,2,2,0.8,0.0
acmd_011c4a99e8cd,Henry Stanton Burton,battle_article,0.8,0.8,0.8,1.0,1,1,0,0.8,1.0
acmd_011c4a99e8cd,Henry Stanton Burton,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,0.8,0.0
acmd_0122814071c1,William M. Miley,operation_article,0.46188,0.369504,0.369504,0.8,1,1,0,0.36950400000000005,1.0
acmd_01236cac61bf,Edward Hughes,battle_article,-0.234314,-0.234314,1.365686,6.0,2,6,4,1.3656856,1.0
acmd_012779a5fda8,Chandragupta Maurya,war_conflict_article,-0.46188,-0.161658,0.161658,0.7,1,2,1,0.16165800000000002,1.0
acmd_012b2444970a,Trần Duệ Tông,battle_article,-0.565686,-0.565686,0.565686,1.0,1,1,0,0.5656856,1.0
acmd_012edcd30d94,Ouane Rattikone,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,0.0,0.0
acmd_0130929e9b04,UKGBI Viscount Wellington,battle_article,0.0,0.0,0.0,2.0,0,2,2,0.0,0.0
acmd_0134a38dd10d,Luis de Quintanar,battle_article,-0.070711,-0.070711,0.070711,1.0,1,1,0,0.0707107,1.0
acmd_0135daedb7fe,William Fiennes,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_01363f245c00,Oscar Hugh La Grange,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_013668329098,Kingdom of Great Britain Horatio Nelson,battle_article,0.565686,0.565686,0.565686,1.0,1,1,0,0.5656856,1.0
acmd_0139bb8b1252,Anon Puntharikapha,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,0.0,0.0
acmd_013a62295bfd,Egon Ramms,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,0.0,0.0
acmd_01405075c8d3,Vuk Lazarević,battle_article,0.46188,0.46188,0.46188,3.0,1,3,2,0.46188000000000007,1.0
acmd_0142b38b9876,Phan Quang Đán,operation_article,0.0,0.0,0.0,0.8,0,1,1,0.0,0.0
acmd_0142e5f3383b,Abdirahman Mohamed Abdullahi,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,0.0,0.0
acmd_0143829efce9,John William Pearson,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_0144ed20c214,Ahmed ou el Kadhi,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_014692ce6e53,Surjeet Singh Deswal,war_conflict_article,0.0,0.0,0.0,1.05,0,3,3,0.0,0.0
acmd_0146bac84dda,Pedro Gual Escandón,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,0.0,0.0
acmd_0146f21309cf,Mohamed Mohamud Agaweine,battle_article,-0.8,-0.8,0.8,1.0,1,1,0,0.8,1.0
acmd_0148700f2775,Yuan Xi,battle_article,-0.707107,-0.707107,0.707107,1.0,1,1,0,0.707107,1.0
acmd_0149e1c6feb2,Leslie Stuart,battle_article,0.565686,0.565686,0.565686,1.0,1,1,0,0.5656856,1.0
acmd_0149e1c6feb2,Leslie Stuart,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,0.5656856,0.0
acmd_014b9b7111f4,Charles of Navarre,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_014c0565e99d,Nils Mårtensson,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,0.0,0.0
acmd_014df5e49bab,Dato' Salleh bin Perang,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,0.0,0.0
acmd_014f48e7eea5,Ali İhsan Pasha,battle_article,-0.252982,-0.252982,0.252982,1.0,1,1,0,0.2529824,1.0
acmd_014f48e7eea5,Ali İhsan Pasha,operation_article,0.0,0.0,0.0,0.8,1,1,0,0.2529824,0.0
acmd_0151c2fb358a,Henri Zongo,battle_article,0.0,0.0,0.0,3.0,0,3,3,0.0,0.0
acmd_0157803d85f8,Martiniano Chilavert,battle_article,-0.565686,-0.565686,0.565686,1.0,1,1,0,0.5656856,1.0
acmd_0159ec2ec8fe,Mameshbirde,war_conflict_article,-0.8,-0.28,0.28,0.35,1,1,0,0.27999999999999997,1.0
acmd_015b2c21c9b8,Zalman Shazar,operation_article,0.0,0.0,0.0,0.8,0,1,1,0.0,0.0
acmd_015b2c21c9b8,Zalman Shazar,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,0.0,0.0
acmd_015b450d404f,Hossein Fatemi,operation_article,0.0,0.0,0.0,0.8,0,1,1,0.0,0.0
acmd_015ef2578a52,Richard Kaaserer,operation_article,0.0,0.0,0.0,0.8,0,1,1,0.0,0.0
acmd_016184ba6820,President of Egypt,operation_article,0.0,0.0,0.0,0.8,0,1,1,0.0,0.0
acmd_0162a4266397,Hans Karl von Winterfeldt,battle_article,-0.8,-0.8,0.8,1.0,1,1,0,0.8642364800000001,0.925673
acmd_0162a4266397,Hans Karl von Winterfeldt,war_conflict_article,0.183533,0.064236,0.064236,0.35,1,1,0,0.8642364800000001,0.074327
acmd_0163d1c0b61e,Dirgham,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_016c7a6c891f,Pharaoh Ramesses II,battle_article,0.0,0.0,0.0,2.0,0,2,2,0.0,0.0
acmd_016e1d665c5d,Zhang Tingfa,battle_article,0.565686,0.565686,0.565686,1.0,1,1,0,0.5656856,1.0
acmd_016f96aa5de6,Dirk Reinhard Adelbert van Langen,operation_article,-0.565686,-0.452548,0.452548,1.6,1,2,1,0.45254848000000003,1.0
acmd_0170fa440f3c,Mary Simon,operation_article,0.0,0.0,0.0,0.8,0,1,1,0.0,0.0
acmd_017229191491,Dagobert I,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_0176e84c58f7,Laurent Giovanninelli,battle_article,0.8,0.8,0.8,1.0,1,1,0,0.8,1.0
acmd_0176e84c58f7,Laurent Giovanninelli,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,0.8,0.0
acmd_017913fa3038,Chaophraya Mahayotha,war_conflict_article,0.357771,0.12522,0.12522,0.35,1,1,0,0.12521991999999998,1.0
acmd_017a8f227fb5,Dmitry Lelyushenko,operation_article,0.593265,0.474612,0.474612,1.6,2,2,0,0.66864064,0.709816
acmd_017a8f227fb5,Dmitry Lelyushenko,battle_article,0.194029,0.194029,0.194029,3.0,2,3,1,0.66864064,0.290184
acmd_017bd0ae0d1f,Tribhuvanāditya,battle_article,0.565686,0.565686,0.565686,1.0,1,1,0,0.5656856,1.0
acmd_017ef6350bef,Vladimir Zhdanov,operation_article,0.0,0.0,0.0,0.8,0,1,1,0.0,0.0
acmd_0186a9a1563f,Amichai Paglin,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,0.0,0.0
acmd_0189503a5662,Abdul Rauf Aliza,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,0.0,0.0
acmd_018aa40996aa,United States Lt. Col. Billy M. Vaughan,operation_article,0.375278,0.300222,0.300222,0.8,1,1,0,0.30022200000000004,1.0
acmd_018b79443600,Georges Félix de Wimpffen,battle_article,0.8,0.8,0.8,2.0,1,2,1,0.8,1.0
acmd_018c591de9d8,Son Sann,war_conflict_article,-0.025,-0.00875,0.00875,0.7,1,2,1,0.008749999999999999,1.0
acmd_018c591de9d8,Son Sann,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.008749999999999999,0.0
acmd_018c6a8df288,"Vukan, Grand Prince of Serbia",battle_article,0.8,0.8,0.8,1.0,1,1,0,0.8,1.0
