"row_number","wikipedia_title","battle_id","status","issue_count","internal_issue_count","stable_mismatch_count","diagnostic_mismatch_count","issue_types","stable_mismatch_fields","diagnostic_mismatch_fields","live_title","live_pageid","live_fetch_mode","notes"
"9849","Ecuadorian Civil War of 1913–1916","battle_60078276","needs_review","12","1","3","8","missing_field","result_raw|result_normalized|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories|list_page_origin|parent_list_page|extraction_confidence","Ecuadorian Civil War of 1913–1916","60078276","wikitext_batch",""
"9858","1914–1915 Muslim revolts in Albania","battle_30624663","needs_review","26","1","21","4","rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","1914–1915 Muslim revolts in Albania","30624663","full_parse_fallback",""
"9861","Affair of Agbeluvoe","battle_35203828","needs_review","33","1","24","8","rejected_candidate","war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_a_max|strength_side_b_min|strength_side_b_max|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|infobox_present|notes","acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family|extraction_confidence","Affair of Agbeluvoe","35203828","full_parse_fallback",""
"9862","Affair of Khra","battle_35207490","needs_review","33","1","24","8","rejected_candidate","war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_a_max|strength_side_b_min|strength_side_b_max|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|infobox_present|notes","acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family|extraction_confidence","Affair of Khra","35207490","full_parse_fallback",""
"9914","Battle of St. Quentin (1914)","battle_2426598","needs_review","13","0","8","5","","war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories","Battle of St. Quentin (1914)","2426598","wikitext_batch",""
"9915","Battle of Stallupönen","battle_301910","needs_review","23","0","18","5","","date_raw|location_raw|location_normalized|latitude|longitude|result_raw|result_normalized|result_type|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_b_raw|strength_side_a_min|strength_side_b_min|casualties_side_b_min|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories","Battle of Stallupönen","301910","wikitext_batch",""
"9920","Battle of Veracruz (1914)","battle_990829","needs_review","25","0","17","8","","date_raw|location_raw|location_normalized|latitude|longitude|result_raw|result_normalized|result_type|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_a_max|casualties_side_b_min|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories|list_page_origin|parent_list_page|source_family","Battle of Veracruz (1914)","990829","wikitext_batch",""
"9930","Battle of the Vistula River","battle_1697219","needs_review","26","1","20","5","missing_commanders","location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_a_max|strength_side_b_min|strength_side_b_max|casualties_side_a_min|casualties_side_b_min|casualties_side_b_max|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories","Battle of the Vistula River","1697219","wikitext_batch",""
"9933","Battle off Texel","battle_22878772","needs_review","32","1","25","6","missing_field","war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_a_max|strength_side_b_min|strength_side_b_max|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|battle_type|infobox_present|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories|extraction_confidence","Battle off Texel","22878772","wikitext_batch",""
"9935","Bitlis uprising (1914)","battle_62139578","needs_review","27","2","19","6","battle_id_source_title_mismatch|rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|strength_side_a_min|strength_side_a_max|infobox_present|notes","acceptance_reason|text_length|categories|list_page_origin|parent_list_page|extraction_confidence","Bitlis uprising (1914)","62139578","full_parse_fallback",""
"9975","Ovambo Uprising","battle_67798924","needs_review","31","1","26","4","rejected_candidate","date_raw|end_date|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_a_max|strength_side_b_min|strength_side_b_max|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","Ovambo Uprising","67798924","full_parse_fallback",""
