analytic_commander_id,display_name,canonical_wikipedia_url,total_rows,verified_core_rows,verified_broad_rows,structurally_suspect_rows,quarantined_rows,dominant_verification_status
acmd_c0de58e77751,Howell Cobb,https://en.wikipedia.org/wiki/Howell_Cobb,2,2,0,0,0,verified_core
acmd_c0de9a139201,Yunus Pasha,https://en.wikipedia.org/wiki/Yunus_Pasha,1,0,1,0,0,verified_broad
acmd_c0e2f0470a17,Min Dikkha,https://en.wikipedia.org/wiki/Min_Dikkha,2,2,0,0,0,verified_core
acmd_c0e456a8a368,Prince Kan'in Kotohito,https://en.wikipedia.org/wiki/Prince_Kan%27in_Kotohito,2,1,0,1,0,structurally_suspect
acmd_c0e8b36b88a7,Isaac de l'Ostal de Saint-Martin,https://en.wikipedia.org/wiki/Isaac_de_l%27Ostal_de_Saint-Martin,1,0,1,0,0,verified_broad
acmd_c0f129071ad7,Wilhelm Souchon,https://en.wikipedia.org/wiki/Wilhelm_Souchon,3,3,0,0,0,verified_core
acmd_c0f2003f1b63,Adi ibn Hatim,https://en.wikipedia.org/wiki/Adi_ibn_Hatim,4,4,0,0,0,verified_core
acmd_c0fa1f141423,George VIII,https://en.wikipedia.org/wiki/George_VIII,3,2,1,0,0,verified_broad
acmd_c1008e6bea39,Samuel Nicholas,https://en.wikipedia.org/wiki/Samuel_Nicholas,1,1,0,0,0,verified_core
acmd_c102a8b75d97,Antero Svensson,https://en.wikipedia.org/wiki/Antero_Svensson,1,1,0,0,0,verified_core
acmd_c105382ff791,Hwang Jin,https://en.wikipedia.org/wiki/Hwang_Jin,2,2,0,0,0,verified_core
acmd_c10a2f073720,Francis I of France,https://en.wikipedia.org/wiki/Francis_I_of_France,8,3,2,3,0,structurally_suspect
acmd_c10a8061c22d,Okabe Noritsuna,https://en.wikipedia.org/wiki/Okabe_Noritsuna,1,1,0,0,0,verified_core
acmd_c11009dddee1,Charles de Faultrier du Fay,https://en.wikipedia.org/wiki/Charles_de_Faultrier_du_Fay,1,1,0,0,0,verified_core
acmd_c110d9f85530,Little Pine,https://en.wikipedia.org/wiki/Little_Pine_%28chief%29,1,1,0,0,0,verified_core
acmd_c111de178c1a,Stephane Ori,https://en.wikipedia.org/wiki/Stephane_Ori,1,1,0,0,0,verified_core
acmd_c113b0a09b43,Manuel de Regla Mota,https://en.wikipedia.org/wiki/Manuel_de_Regla_Mota,1,0,1,0,0,verified_broad
acmd_c113ffbed2b1,Ion Dragalina,https://en.wikipedia.org/wiki/Ion_Dragalina,3,3,0,0,0,verified_core
acmd_c1152d1c1d13,James Patrick Major,https://en.wikipedia.org/wiki/James_Patrick_Major,1,1,0,0,0,verified_core
acmd_c1156ccb0b32,Ahmad ibn Laythawayh,https://en.wikipedia.org/wiki/Ahmad_ibn_Laythawayh,2,2,0,0,0,verified_core
acmd_c1159b8eb25f,Nawabzada Shahabuddin Khan,https://en.wikipedia.org/wiki/Nawabzada_Shahabuddin_Khan,1,0,1,0,0,verified_broad
acmd_c117087930c9,Marquis of Mondéjar,https://en.wikipedia.org/wiki/Marquis_of_Mond%C3%A9jar,1,1,0,0,0,verified_core
acmd_c11840dbb849,André Corap,https://en.wikipedia.org/wiki/Andr%C3%A9_Corap,1,1,0,0,0,verified_core
acmd_c11af8ad9f05,Muhammad ibn Zayd,https://en.wikipedia.org/wiki/Muhammad_ibn_Zayd,1,1,0,0,0,verified_core
acmd_c11b9e6aabf2,Si Mohammed Bourhayl,https://en.wikipedia.org/wiki/Si_Mohammed_Bourhayl,1,0,1,0,0,verified_broad
acmd_c11f1493c45d,Juan Pablo Ledezma,https://en.wikipedia.org/wiki/Juan_Pablo_Ledezma,1,1,0,0,0,verified_core
acmd_c121dbf0b08f,Boris Alexandrovich Shamaev,https://en.wikipedia.org/wiki/Boris_Alexandrovich_Shamaev,1,1,0,0,0,verified_core
