rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_sustained_scale,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags
38,79.26382380506091,strong,acmd_041804c2e06c,Peng Dehuai,https://en.wikipedia.org/wiki/Peng_Dehuai,cold_war,13,11,1,0,1,8,0.6153846153846154,0.3449742462676812,81.91190253045923,,87.34770384254921,70.80599812558576,88.19119025304593,78.25679475164011,19.962511715089036,18,0.09465020576131686,battle_dominant,
39,79.02811621368322,strong,acmd_f47199d981fc,Stanisław Żółkiewski,https://en.wikipedia.org/wiki/Stanis%C5%82aw_%C5%BB%C3%B3%C5%82kiewski,early_modern,11,11,0,0,0,10,0.9090909090909091,0.4635824971694798,96.81349578256795,,51.03092783505155,85.56701030927834,84.20805998125586,18.181818181818183,72.72727272727273,26,0.0,battle_dominant,
40,78.98641049671977,strong,acmd_cbe4494bd0e0,"François-Henri de Montmorency, duc de Luxembourg",https://en.wikipedia.org/wiki/Fran%C3%A7ois-Henri_de_Montmorency%2C_duc_de_Luxembourg,early_modern,13,10,0,0,3,7,0.5384615384615384,0.4666666666666668,97.37582005623243,,48.54732895970009,77.83505154639175,84.91096532333646,75.72633552014996,18.697282099343955,21,0.09502262443438912,battle_dominant,
41,78.7986566697907,strong,acmd_429b31f5c5fd,Philip the Good,https://en.wikipedia.org/wiki/Philip_the_Good,medieval,9,8,0,0,1,8,0.8888888888888888,0.3998176978753008,89.69072164948454,,54.99843798812871,96.29803186504218,71.36832239925025,47.46954076850984,75.21087160262418,39,0.041916167664670656,battle_dominant,
42,78.71337082161824,strong,acmd_9f7dff80cfa8,Aurangzeb,https://en.wikipedia.org/wiki/Aurangzeb,early_modern,10,8,0,0,2,9,0.9,0.337551445958424,81.06841611996252,,67.13527022805373,97.61012183692596,72.82099343955014,64.1518275538894,75.82005623242736,47,0.08045977011494253,battle_dominant,
43,78.52327397688224,strong,acmd_9532eb3afefd,Enver Pasha,https://en.wikipedia.org/wiki/Enver_Pasha,world_wars,14,8,1,0,5,9,0.6428571428571429,0.3405643699577702,81.630740393627,,94.9547016557326,52.95220243673852,82.94283036551077,90.39362699156513,28.444236176194938,11,0.24170616113744073,mixed_profile,
44,78.27975632614809,strong,acmd_909d92cf788e,Maeda Toshiie,https://en.wikipedia.org/wiki/Maeda_Toshiie,early_modern,11,10,0,0,1,10,0.9090909090909091,0.39574261272486977,89.4095595126523,,48.54732895970009,95.92314901593252,82.14620431115276,47.46954076850984,72.11808809746955,38,0.033816425120772944,battle_dominant,
45,78.19634489222119,strong,acmd_d687b502db52,Mikhail Kutuzov,https://en.wikipedia.org/wiki/Mikhail_Kutuzov,revolutionary_napoleonic,13,11,0,0,2,9,0.6923076923076923,0.3900049914010652,89.03467666354264,,63.12089971883787,79.70946579194002,85.9887535145267,64.1518275538894,27.553889409559513,22,0.05982905982905983,battle_dominant,
46,78.10402999062794,strong,acmd_c82d0737a6d5,Ögedei Khan,https://en.wikipedia.org/wiki/%C3%96gedei_Khan,medieval,12,9,0,0,3,12,1.0,0.3182102886491448,79.19400187441424,,63.12089971883787,90.72164948453609,81.34957825679476,75.72633552014996,88.89409559512652,30,0.10447761194029848,battle_dominant,
47,77.85941893158386,strong,acmd_172afb0cb776,Fyodor Tolbukhin,https://en.wikipedia.org/wiki/Fyodor_Tolbukhin,world_wars,13,5,8,0,0,11,0.8461538461538461,0.48122265412959897,98.03186504217432,,64.90159325210871,22.492970946579195,85.52014995313965,99.01593252108715,72.44611059044048,3,0.5614035087719298,operation_heavy,higher_level_dependent
48,77.85926273039676,strong,acmd_9acc0b2c5ac1,Walter Krueger,https://en.wikipedia.org/wiki/Walter_Krueger,world_wars,12,9,3,0,0,12,1.0,0.5513973841798462,99.62511715089035,,66.2293033427054,15.510777881911903,85.52014995313965,89.12839737582006,88.89409559512652,2,0.2105263157894737,battle_dominant,
49,77.81458919087787,strong,acmd_73305bd7a7e8,Aleksandr Vasilevsky,https://en.wikipedia.org/wiki/Aleksandr_Vasilevsky,world_wars,9,4,4,0,1,9,1.0,0.5142857142857143,99.06279287722587,,65.58887847547642,29.194001874414244,65.18275538894096,94.42361761949391,88.89409559512652,4,0.4701986754966888,operation_heavy,
50,77.65588878475477,strong,acmd_9abc9d454029,Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,medieval,13,12,0,0,1,13,1.0,0.518712121609505,99.2502343017807,,42.752264917213374,61.34020618556701,88.37863167760075,47.46954076850984,88.89409559512652,14,0.02834008097165992,battle_dominant,
