rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,battle_count,known_battle_outcome_count,known_battle_outcome_share,outcome_shrunk_raw,component_outcome,component_depth,component_reliability,conflict_breadth,active_span_years,page_type_profile_class,caution_flags
689,24.462227912932136,qualified,acmd_bae8e4f42b1b,Viktor Dankl von Krasnik,https://en.wikipedia.org/wiki/Viktor_Dankl_von_Krasnik,world_wars,6,5,0.8333333333333334,-0.17909704898993647,13.956466069142126,38.348271446862995,43.34186939820743,3,2,battle_dominant,
690,24.385403329065298,qualified,acmd_4c72c4e7c973,Michelangelo Alessandro Colli-Marchi,https://en.wikipedia.org/wiki/Michelangelo_Alessandro_Colli-Marchi,revolutionary_napoleonic,6,6,1.0,-0.28927094058167774,5.121638924455826,38.348271446862995,78.16901408450704,4,3,battle_dominant,
691,24.314980793854033,qualified,acmd_de94c841ead0,Ahmed Muhtar Pasha,https://en.wikipedia.org/wiki/Ahmed_Muhtar_Pasha,long_nineteenth_century,5,4,0.8,-0.06903560624299862,26.888604353393085,14.596670934699105,30.217669654289374,4,24,battle_dominant,
692,24.231754161331626,qualified,acmd_b7f472b9d5bf,Franz von Hipper,https://en.wikipedia.org/wiki/Franz_von_Hipper,world_wars,6,4,0.6666666666666666,-0.11465690269857898,20.23047375160051,38.348271446862995,16.709346991037133,2,2,battle_dominant,
693,24.15492957746479,qualified,acmd_abf6562167ae,Józef Bem,https://en.wikipedia.org/wiki/J%C3%B3zef_Bem,long_nineteenth_century,6,5,0.8333333333333334,-0.18398533524709287,13.444302176696542,38.348271446862995,43.34186939820743,2,18,battle_dominant,
694,24.151728553137005,qualified,acmd_4394dbcec582,Wakisaka Yasuharu,https://en.wikipedia.org/wiki/Wakisaka_Yasuharu,early_modern,9,6,0.6666666666666666,-0.3069784206931941,4.609475032010243,72.79129321382842,21.254801536491676,6,22,battle_dominant,
695,23.930857874519845,qualified,acmd_26a3cde90d96,"Maximilian, Count of Merveldt",https://en.wikipedia.org/wiki/Maximilian%2C_Count_of_Merveldt,revolutionary_napoleonic,5,4,0.8,-0.07261910669962593,26.248399487836103,14.596670934699105,30.217669654289374,5,12,battle_dominant,
696,23.84763124199744,qualified,acmd_c9afea1f1e26,Samuel D. Sturgis,https://en.wikipedia.org/wiki/Samuel_D._Sturgis,long_nineteenth_century,6,5,0.8333333333333334,-0.1944815510145137,12.93213828425096,38.348271446862995,43.34186939820743,2,16,battle_dominant,
697,23.847631241997437,qualified,acmd_5c6db4353382,Selim I Giray,https://en.wikipedia.org/wiki/Selim_I_Giray,early_modern,6,4,0.6666666666666666,-0.11783135960059289,19.590268886043532,38.348271446862995,16.709346991037133,6,203,battle_dominant,
698,23.70038412291933,qualified,acmd_d8a6e670a3d0,Vicente Rojo Lluch,https://en.wikipedia.org/wiki/Vicente_Rojo_Lluch,world_wars,7,5,0.7142857142857143,-0.21526108921953271,11.395646606914212,53.77720870678617,22.791293213828425,2,2,battle_dominant,
699,23.6235595390525,qualified,acmd_a684b0193c44,"Raymond VI, Count of Toulouse",https://en.wikipedia.org/wiki/Raymond_VI%2C_Count_of_Toulouse,medieval,5,4,0.8,-0.07466971889731701,25.73623559539053,14.596670934699105,30.217669654289374,1,6,battle_dominant,
700,23.412291933418693,qualified,acmd_fd9c4bfc72cd,Marquis de Lafayette,https://en.wikipedia.org/wiki/Marquis_de_Lafayette,early_modern,5,5,1.0,-0.15543429734864303,16.51728553137004,14.596670934699105,65.68501920614597,2,4,battle_dominant,
