rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_sustained_scale,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags
62,79.28523714094855,strong,acmd_429b31f5c5fd,Philip the Good,https://en.wikipedia.org/wiki/Philip_the_Good,medieval,11,8,0,0,3,9,0.8181818181818182,0.4214066402507495,93.18637274549098,83.43353373413494,50.02226675573369,95.95858383433534,79.45891783567134,51.36940547762191,72.5116900467602,39,0.11602209944751378,battle_dominant,
63,79.12692050768203,strong,acmd_ad691790bfae,Ferdinand Foch,https://en.wikipedia.org/wiki/Ferdinand_Foch,world_wars,22,18,3,0,1,17,0.7727272727272727,0.4156707143358363,92.71877087508351,92.85237140948564,69.3832108661768,33.86773547094188,96.69338677354709,73.81429525718103,52.30460921843687,4,0.09774436090225565,battle_dominant,
64,79.04542418169672,strong,acmd_a7774742b0eb,William Halsey Jr.,https://en.wikipedia.org/wiki/William_Halsey_Jr.,world_wars,17,6,4,7,0,15,0.8823529411764706,0.44744128149505114,95.85838343353373,89.24515698062793,70.91961701180138,20.741482965931866,90.44756179024716,98.63059452237809,52.237808951235806,2,0.5402298850574713,mixed_profile,higher_level_dependent
65,78.88844355377422,strong,acmd_4b49a6c530a7,Peter the Great,https://en.wikipedia.org/wiki/Peter_the_Great,early_modern,15,7,0,1,7,14,0.9333333333333333,0.3273710402000105,79.49231796927188,94.18837675350701,70.34068136272545,60.487641950567806,83.16633266533067,86.90714762859052,76.15230460921843,12,0.3,war_campaign_heavy,
66,78.86973947895791,strong,acmd_e98a8506dc92,Ivan Bagramyan,https://en.wikipedia.org/wiki/Ivan_Bagramyan,world_wars,17,4,12,0,1,14,0.8235294117647058,0.5894736842105264,99.79959919839679,84.63593854375418,63.816521932754405,27.75551102204409,88.57715430861724,98.99799599198397,52.104208416833664,3,0.6652719665271966,operation_heavy,higher_level_dependent
67,78.81295925183701,strong,acmd_94390629dbd3,Frederick the Great,https://en.wikipedia.org/wiki/Frederick_the_Great,early_modern,28,21,0,0,7,25,0.8928571428571429,0.29456703668915135,72.812291249165,98.32999331997327,57.559563571587624,79.92651970607882,98.19639278557113,81.39612558450234,78.95791583166333,21,0.1044776119402985,battle_dominant,
68,78.75350701402805,strong,acmd_ccc95a8b031b,Oliver Cromwell,https://en.wikipedia.org/wiki/Oliver_Cromwell,early_modern,23,15,0,0,8,8,0.34782608695652173,0.4923076923076923,97.9625918503674,91.71676686706746,56.54642618570474,49.59919839679359,95.39078156312625,85.20374081496325,2.8724114896459585,8,0.15730337078651685,mixed_profile,
69,78.71810287241149,strong,acmd_47cd11aab7f1,Gustavus Adolphus,https://en.wikipedia.org/wiki/Gustavus_Adolphus,early_modern,24,16,0,1,7,15,0.625,0.28188771840481386,71.81028724114896,96.19238476953907,72.02182142061902,78.02271209084837,96.19238476953907,86.90714762859052,31.596526386105545,20,0.15789473684210525,mixed_profile,
70,78.61523046092184,strong,acmd_eec0f4ec373e,Francis Vere,https://en.wikipedia.org/wiki/Francis_Vere,early_modern,19,18,0,0,1,17,0.8947368421052632,0.41935647801281284,93.05277221108884,93.5871743486974,54.21955021153418,69.8062792251169,95.7247828991316,18.80427521710087,78.89111556446225,16,0.019073569482288825,battle_dominant,
71,78.59919839679358,strong,acmd_d53c51d2e48c,Maharaja Ranjit Singh,https://en.wikipedia.org/wiki/Ranjit_Singh,long_nineteenth_century,12,8,0,0,4,9,0.75,0.3554401194210991,82.03072812291249,85.57114228456913,65.95413048318859,95.25718102872412,81.39612558450234,62.725450901803605,43.52037408149633,37,0.14893617021276595,mixed_profile,
72,78.57247828991316,strong,acmd_fbc576a2a4b1,Agha Petros,https://en.wikipedia.org/wiki/Agha_Petros,world_wars,11,6,0,3,2,8,0.7272727272727273,0.4329229650706525,93.85437541750167,85.77154308617234,66.27699844132711,57.64863059452237,75.48430193720776,80.2939211756847,47.160988643954575,11,0.281437125748503,mixed_profile,
73,78.49766199064797,strong,acmd_b535bf3c1a8f,Charles X Gustav,https://en.wikipedia.org/wiki/Charles_X_Gustav,early_modern,17,13,0,1,3,16,0.9411764705882353,0.32003386061185374,78.75751503006012,94.72277889111557,70.34068136272545,57.64863059452237,92.85237140948564,67.90247160988643,82.66533066132264,11,0.10958904109589042,battle_dominant,
74,78.46025384101534,strong,acmd_7ece542ce56e,Winfield Scott,https://en.wikipedia.org/wiki/Winfield_Scott,long_nineteenth_century,12,8,0,0,4,8,0.6666666666666666,0.3784797093389098,87.10754843019372,79.75951903807615,62.747717657537294,94.0881763527054,81.39612558450234,62.725450901803605,43.52037408149633,35,0.14893617021276595,mixed_profile,
