rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,battle_count,known_battle_outcome_count,known_battle_outcome_share,outcome_shrunk_raw,component_outcome,component_depth,component_reliability,conflict_breadth,active_span_years,page_type_profile_class,caution_flags
2261,13.74005860192549,qualified,acmd_bc6deabae2df,Archduke Leopold Wilhelm of Austria,https://en.wikipedia.org/wiki/Archduke_Leopold_Wilhelm_of_Austria,early_modern,4,4,1.0,-0.3333333333333333,1.297614064462118,51.06739221431561,,3,13,battle_dominant,
2262,13.74005860192549,qualified,acmd_fe16ebeda7bb,Hidemitsu Nakano,https://en.wikipedia.org/wiki/Hidemitsu_Nakano,world_wars,4,4,1.0,-0.3333333333333333,1.297614064462118,51.06739221431561,,1,0,battle_dominant,
2263,13.74005860192549,qualified,acmd_56ee0699b357,Hormuzan,https://en.wikipedia.org/wiki/Hormuzan,medieval,4,4,1.0,-0.3333333333333333,1.297614064462118,51.06739221431561,,4,37,battle_dominant,
2264,13.74005860192549,qualified,acmd_06efa9a8a197,"Jean d'Estrées, Count of Estrées",https://en.wikipedia.org/wiki/Jean_d%27Estr%C3%A9es%2C_Count_of_Estr%C3%A9es,early_modern,4,4,1.0,-0.3333333333333333,1.297614064462118,51.06739221431561,,3,5,battle_dominant,
2265,13.74005860192549,qualified,acmd_67e8a90d040f,Johannes von Eben,https://en.wikipedia.org/wiki/Johannes_von_Eben,world_wars,4,4,1.0,-0.3333333333333333,1.297614064462118,51.06739221431561,,4,1,battle_dominant,
2266,13.74005860192549,qualified,acmd_7b64d2665dbb,Osman Digna,https://en.wikipedia.org/wiki/Osman_Digna,long_nineteenth_century,4,4,1.0,-0.3333333333333333,1.297614064462118,51.06739221431561,,3,14,battle_dominant,
2267,13.74005860192549,qualified,acmd_e09df3a44ffd,Pippo Spano,https://en.wikipedia.org/wiki/Pippo_Spano,medieval,4,4,1.0,-0.3333333333333333,1.297614064462118,51.06739221431561,,2,2,battle_dominant,
2268,13.74005860192549,qualified,acmd_bdf2bbc2a5fd,Piruz Khosrow,https://en.wikipedia.org/wiki/Piruz_Khosrow,medieval,4,4,1.0,-0.3333333333333333,1.297614064462118,51.06739221431561,,3,13,battle_dominant,
2269,13.74005860192549,qualified,acmd_254e6f3acafa,Shigeru Katagiri,https://en.wikipedia.org/wiki/Shigeru_Katagiri,world_wars,4,4,1.0,-0.3333333333333333,1.297614064462118,51.06739221431561,,4,1,battle_dominant,
2270,13.74005860192549,qualified,acmd_c35a737a7f44,"William Alexander, Lord Stirling",https://en.wikipedia.org/wiki/William_Alexander%2C_Lord_Stirling,early_modern,4,4,1.0,-0.3333333333333333,1.297614064462118,51.06739221431561,,1,1,battle_dominant,
2271,13.394725826705734,qualified,acmd_b4d4d815ec35,Augusto César Sandino,https://en.wikipedia.org/wiki/Augusto_C%C3%A9sar_Sandino,world_wars,4,4,1.0,-0.33333333333333337,0.8371703641691084,51.06739221431561,,4,20,battle_dominant,
