display_name,canonical_wikipedia_url,primary_era_bucket,rank_baseline_conservative,rank_battle_only_baseline,rank_hierarchical_trust_v2,rank_hierarchical_weighted,rank_hierarchical_full_credit,rank_hierarchical_equal_split,rank_hierarchical_broader_eligibility,score_baseline_conservative,score_hierarchical_trust_v2,score_hierarchical_weighted,trust_tier_v2,trust_confidence_v2,trust_headline_reason_v2,total_engagements_strict,total_battle_pages_strict,distinct_conflicts_strict,distinct_opponents_strict,known_outcome_count,outcome_profile_summary,page_type_exposure_summary,page_type_profile_class,stability_label,caution_flags
Živojin Mišić,https://en.wikipedia.org/wiki/%C5%BDivojin_Mi%C5%A1i%C4%87,world_wars,297.0,190.0,21.0,16.0,16.0,26.0,21.0,57.61843790012805,84.69672678690716,84.92061901580941,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",9,5,8,8,7,V=7; D=0; N=0; U=2,B=5; O=3; C=0; W=1,battle_dominant,highly_model_sensitive,
Petar Bojović,https://en.wikipedia.org/wiki/Petar_Bojovi%C4%87,long_nineteenth_century,,270.0,22.0,14.0,14.0,27.0,10.0,,84.4315297261189,85.11333778668448,model_sensitive_band,caution,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers.",9,4,7,9,7,V=7; D=0; N=0; U=2,B=4; O=3; C=0; W=2,battle_dominant,highly_model_sensitive,higher_level_dependent
Jean Victor Marie Moreau,https://en.wikipedia.org/wiki/Jean_Victor_Marie_Moreau,revolutionary_napoleonic,23.0,40.0,23.0,31.0,73.0,32.0,48.0,90.37772087067862,84.20173680694721,81.56357158761968,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 23 but not stable enough for the headline core.,22,22,13,21,21,V=15; D=5; N=1; U=1,B=22; O=0; C=0; W=0,battle_dominant,model_sensitive,
Ahmad Shah Durrani,https://en.wikipedia.org/wiki/Ahmad_Shah_Durrani,early_modern,66.0,121.0,24.0,29.0,21.0,24.0,105.0,79.38860435339308,83.93854375417503,82.08695168114006,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",10,9,8,15,9,V=7; D=1; N=1; U=1,B=9; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
Mahmud Pasha Angelović,https://en.wikipedia.org/wiki/Mahmud_Pasha_Angelovi%C4%87,medieval,19.0,21.0,25.0,23.0,23.0,14.0,14.0,92.02304737516005,83.84235136940548,83.40503228679582,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 25 but not stable enough for the headline core.,11,11,10,13,10,V=9; D=1; N=0; U=1,B=11; O=0; C=0; W=0,battle_dominant,stable,
Stanisław Żółkiewski,https://en.wikipedia.org/wiki/Stanis%C5%82aw_%C5%BB%C3%B3%C5%82kiewski,early_modern,16.0,20.0,26.0,21.0,26.0,18.0,13.0,92.25352112676057,83.73947895791584,83.45813849922067,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 26 but not stable enough for the headline core.,11,11,9,13,10,V=9; D=1; N=0; U=1,B=11; O=0; C=0; W=0,battle_dominant,stable,
Genghis Khan,https://en.wikipedia.org/wiki/Genghis_Khan,medieval,91.0,214.0,27.0,41.0,17.0,41.0,27.0,76.85339308578745,83.54442217768869,80.59463371186817,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",15,12,9,9,15,V=12; D=3; N=0; U=0,B=12; O=0; C=0; W=3,battle_dominant,highly_model_sensitive,
Emperor Taizong of Tang,https://en.wikipedia.org/wiki/Emperor_Taizong_of_Tang,medieval,,237.0,28.0,20.0,31.0,42.0,68.0,,83.47160988643952,83.72834558004898,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",6,4,4,11,6,V=5; D=1; N=0; U=0,B=4; O=0; C=0; W=2,battle_dominant,highly_model_sensitive,
"Sébastien Le Prestre, Marquis of Vauban",https://en.wikipedia.org/wiki/S%C3%A9bastien_Le_Prestre%2C_Marquis_of_Vauban,early_modern,9.0,9.0,29.0,22.0,22.0,20.0,12.0,95.77784891165173,83.35537742150969,83.42128701848141,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 29 but not stable enough for the headline core.,16,13,7,13,13,V=12; D=0; N=1; U=3,B=13; O=0; C=0; W=3,battle_dominant,stable,
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,ancient,61.0,45.0,30.0,26.0,18.0,19.0,73.0,81.25160051216389,83.16366065464261,82.5543308839902,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",18,17,6,15,11,V=10; D=1; N=0; U=7,B=17; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
