analytic_commander_id,commander_name,total_score,score_from_overall_command,score_from_principal_field_command,score_from_subordinate_command,score_from_coalition_command,score_from_siege_engineering,score_from_naval_command,score_from_staff_or_planning,score_from_nominal_or_political,score_from_unclear_role,score_from_wing_or_corps_command,share_unclear_role,share_nominal_or_political,share_direct_field_command,role_weighted_total,role_unweighted_total,mean_role_confidence,dominant_role_class,role_adjustment_factor
acmd_00aa573adae7,Oliveira Álvares,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.68,0.8,0.65,principal_field_commander,0.85
acmd_00ac046e84b7,Lucius Mummius Achaicus,0.9979899600000001,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.19798996000000002,0.0,0.1983887292814048,0.0,0.8016112707185952,0.7591959840000001,0.9979899600000001,0.475,principal_field_commander,0.7607250718233679
acmd_00ae4a417c15,Niccolo dalla Torre,0.46188000000000007,0.0,0.46188000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.39259800000000006,0.46188000000000007,0.65,principal_field_commander,0.85
acmd_00ae5034710a,Kingdom of Great Britain Richard Howe,0.5656856,0.0,0.5656856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.48083275999999997,0.5656856,0.65,principal_field_commander,0.85
acmd_00b061c277f5,Ahmad Tejan Kabbah,0.27,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.4444444444444444,0.0,0.5555555555555555,0.1755,0.27,0.43333333333333335,principal_field_commander,0.6499999999999999
acmd_00b5bd593d29,Ivan the Terrible,0.3577712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3577712,0.0,0.0,1.0,0.19677416000000003,0.3577712,0.35,wing_or_corps_commander,0.55
acmd_00b73ed9929b,The Bowl,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1275,0.15,0.65,principal_field_commander,0.8500000000000001
acmd_00b9491d3116,Malikussaid,0.46188000000000007,0.0,0.46188000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.39259800000000006,0.46188000000000007,0.65,principal_field_commander,0.85
acmd_00bb216f0fb0,Marcus Vipsanius Agrippa,0.7056856,0.0,0.5656856,0.0,0.0,0.0,0.0,0.0,0.0,0.13999999999999999,0.0,0.19838863085770772,0.0,0.8016113691422923,0.53683276,0.7056856,0.3875,principal_field_commander,0.7607251161140315
acmd_00c068205b6a,Major Jose Quevedo,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,1.0,0.0,0.0,0.048,0.12,0.35,unclear_role,0.4
