battle_id,battle_name,wikipedia_title,side,raw_text,issue_type,details
battle_54168521,Battle of Wels,Battle of Wels,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_52593580,Siege of Taormina (962),Siege of Taormina (962),side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_7531498,Siege of Kiev (968),Siege of Kiev (968),side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_7551607,Battle of Arcadiopolis (970),Battle of Arcadiopolis (970),side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_52143333,Siege of Lastovo,Siege of Lastovo,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_27810868,Mujahid's invasion of Sardinia,Mujahid's invasion of Sardinia,side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_27810868,Mujahid's invasion of Sardinia,Mujahid's invasion of Sardinia,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_32759078,Siege of Jebus,Siege of Jebus,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_34250396,Battle of Michmash,Battle of Michmash,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_81182644,Battle of the Indus (1027),Battle of the Indus (1027),side_b,-,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_79843769,Battle of Tashir,Battle of Tashir,side_a,Shadaddid flag.jpg Abu'l-Aswar,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_14366525,Battle of Thessalonica (2nd 1040),Battle of Thessalonica (2nd 1040),side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_7498320,Caspian expeditions of the Rus',Caspian expeditions of the Rus',side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_68819788,Battle of Haydaran,Battle of Haydaran,side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_65598458,Battle of Zygos Pass,Battle of Zygos Pass,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_63281490,Battle of Tabfarilla,Battle of Tabfarilla,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_28909581,Battle of Piedra Pisada,Battle of Piedra Pisada,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_5385417,Battle of Levounion,Battle of Levounion,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
