rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags
694,49.29660810151294,qualified,acmd_c27d506e18ae,Khoja Zufar,https://en.wikipedia.org/wiki/Khoja_Zufar,early_modern,7,4,0,0,3,5,0.7142857142857143,-0.0004383080768543131,37.55490483162519,64.18984870668618,65.19033674963397,38.46998535871157,53.989751098096626,67.34992679355784,15,0.20792079207920788,mixed_profile,
695,49.29587603709126,qualified,acmd_e1e17312f0b6,Alexander Danilovich Menshikov,https://en.wikipedia.org/wiki/Alexander_Danilovich_Menshikov,early_modern,10,9,0,0,1,10,1.0,0.07213528353064345,46.120058565153734,36.51781356759395,54.94143484626647,81.03953147877013,19.03367496339678,93.77745241581259,11,0.0374331550802139,battle_dominant,
696,49.2856271351879,qualified,acmd_6b70da14619c,Lazare Hoche,https://en.wikipedia.org/wiki/Lazare_Hoche,revolutionary_napoleonic,8,5,0,1,2,6,0.75,0.04945525768838586,42.89897510980966,65.72718399219131,31.36896046852123,56.22254758418741,61.420204978038065,70.5710102489019,4,0.2,mixed_profile,
697,49.262994143484626,qualified,acmd_2cef56b0c4d7,Võ Nguyên Giáp,https://en.wikipedia.org/wiki/V%C3%B5_Nguy%C3%AAn_Gi%C3%A1p,cold_war,16,6,1,0,9,5,0.3125,-0.23599413581607073,15.446559297218155,89.45827232796485,87.70131771595901,82.06442166910688,91.800878477306,3.5871156661786237,28,0.3717277486910995,war_campaign_heavy,sparse_higher_level_evidence
698,49.21644704734017,qualified,acmd_cc05fe0d4f18,"Nizam Ali Khan, Asaf Jah II",https://en.wikipedia.org/wiki/Nizam_Ali_Khan%2C_Asaf_Jah_II,revolutionary_napoleonic,7,4,0,0,3,4,0.5714285714285714,-0.07624531635285532,30.01464128843338,64.18984870668618,96.12005856515373,38.46998535871157,53.989751098096626,34.18740849194729,41,0.20792079207920788,mixed_profile,
699,49.20192776964373,qualified,acmd_411ce464bec0,Li Hongzhang,https://en.wikipedia.org/wiki/Li_Hongzhang,long_nineteenth_century,8,5,0,0,3,8,1.0,-0.1076743666000139,26.939970717423133,51.43972669594924,95.71742313323573,54.4289897510981,53.989751098096626,93.77745241581259,39,0.17355371900826444,mixed_profile,
700,49.20119570522206,qualified,acmd_ca91d14a6d69,Željko Ražnatović,https://en.wikipedia.org/wiki/Arkan,contemporary,6,5,1,0,0,4,0.6666666666666666,0.27343001596304695,69.47291361639824,44.77794045876036,9.99267935578331,45.534407027818446,26.756954612005856,33.125915080527086,1,0.07407407407407407,battle_dominant,
701,49.16020009760859,qualified,acmd_45102fee9550,"Ferdinand I, Holy Roman Emperor",https://en.wikipedia.org/wiki/Ferdinand_I%2C_Holy_Roman_Emperor,early_modern,12,4,0,2,6,9,0.75,-0.2685092283653506,12.811127379209369,88.48218643240604,76.53733528550512,67.27672035139092,90.04392386530014,52.19619326500732,20,0.4444444444444445,war_campaign_heavy,
702,49.15434358223524,qualified,acmd_fd1a6449d5ac,Tomitarō Horii,https://en.wikipedia.org/wiki/Tomitar%C5%8D_Horii,world_wars,8,6,0,2,0,5,0.625,0.2964869777865664,71.8887262079063,31.564177647632988,3.2576866764275256,63.72620790629575,44.98535871156662,23.2796486090776,0,0.12087912087912088,battle_dominant,
703,49.12286481210346,qualified,acmd_d0c8c40b2e66,Khan Temir,https://en.wikipedia.org/wiki/Khan_Temir,early_modern,9,6,0,0,3,3,0.3333333333333333,-0.1655945059848294,21.44948755490483,72.19375305026841,98.9385065885798,66.54465592972181,53.989751098096626,7.430453879941434,132,0.14893617021276592,mixed_profile,
