rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags
1144,32.93884906120459,qualified,acmd_f9693a3591c1,Petru Rareș,https://en.wikipedia.org/wiki/Petru_Rare%C8%99,early_modern,6,1,0,1,4,6,1.0,-0.15888434758050685,22.092172640819314,73.23823457693247,17.227505486466715,2.377468910021946,77.39575713240673,93.70885149963424,2,0.6610169491525423,war_campaign_heavy,higher_level_dependent | thin_battle_anchor
1145,32.83857595708364,qualified,acmd_add757a1e03f,Michał Serwacy Wiśniowiecki,https://en.wikipedia.org/wiki/Micha%C5%82_Serwacy_Wi%C5%9Bniowiecki,early_modern,5,5,0,0,0,5,1.0,-0.046424654670860654,33.35771762984638,20.312118995366983,40.89246525237747,35.84491587417703,4.974396488661302,93.70885149963424,6,0.0,battle_dominant,
1146,32.82443306510607,qualified,acmd_d72c295cbc4a,Alexandros Mavrokordatos,https://en.wikipedia.org/wiki/Alexandros_Mavrokordatos,long_nineteenth_century,5,3,0,0,2,4,0.8,0.028976829134550353,40.45354791514264,28.34674469641551,24.433065106071687,9.8390636430139,37.85662033650329,50.76810534016094,3,0.18918918918918917,mixed_profile,
1147,32.81845891246038,qualified,acmd_d7db0fc2901c,Ras Mengesha Yohannes,https://en.wikipedia.org/wiki/Ras_Mengesha_Yohannes,long_nineteenth_century,5,3,0,0,2,4,0.8,0.03637935252733343,41.550841258229696,31.577663984394054,9.985369422092173,9.8390636430139,37.85662033650329,76.29846378931968,1,0.18918918918918917,mixed_profile,
1148,32.68727139722019,qualified,acmd_57cc4bc9990d,James G. Blunt,https://en.wikipedia.org/wiki/James_G._Blunt,long_nineteenth_century,9,9,0,0,0,4,0.4444444444444444,0.028091914620574303,40.1609363569861,17.081199707388443,17.227505486466715,79.00512070226775,4.974396488661302,10.387710314557424,2,0.0,battle_dominant,
1149,32.59808339429408,qualified,acmd_4af78bf05ffb,Jalal Talabani,https://en.wikipedia.org/wiki/Jalal_Talabani,contemporary,9,1,1,0,7,3,0.3333333333333333,-0.23530545469311476,15.581565471836138,87.82004389173373,17.227505486466715,18.25164594001463,90.41697147037307,25.566934893928313,2,0.7647058823529411,war_campaign_heavy,higher_level_dependent | higher_level_low_evidence_combo | sparse_higher_level_evidence | thin_battle_anchor
1150,32.56217995610827,qualified,acmd_bc51a671ebad,Koca Sinan Pasha,https://en.wikipedia.org/wiki/Koca_Sinan_Pasha,early_modern,8,3,0,0,5,4,0.5,-0.1411710165011128,23.408924652523773,67.88588149231894,3.2553035844915876,31.199707388441844,74.32333577176298,9.58302852962692,0,0.3684210526315789,war_campaign_heavy,
1151,32.46841745915631,qualified,acmd_24a5f521530d,Hadım Ali Pasha,https://en.wikipedia.org/wiki/Had%C4%B1m_Ali_Pasha,early_modern,6,1,0,0,5,5,0.8333333333333334,-0.0636904500099667,31.30943672275055,64.20385271884906,3.2553035844915876,1.8653986832479885,74.32333577176298,80.6876371616679,0,0.6363636363636364,war_campaign_heavy,higher_level_dependent | thin_battle_anchor
1152,32.44806144842722,qualified,acmd_1f3be8298f9a,Michael von Kienmayer,https://en.wikipedia.org/wiki/Michael_von_Kienmayer,revolutionary_napoleonic,7,6,0,1,0,7,1.0,-0.14546129184899298,23.04316020482809,36.53986832479883,31.346013167520116,56.730065837600584,10.790051207022678,93.70885149963424,4,0.043824701195219126,battle_dominant,
1153,32.42209217264082,qualified,acmd_4333fd349fa7,Pontiac,https://en.wikipedia.org/wiki/Pontiac_(Odawa_leader),early_modern,5,3,0,0,2,4,0.8,-0.09429672724862827,28.31016825164594,36.53986832479883,47.25676664228237,9.8390636430139,37.85662033650329,50.76810534016094,8,0.18918918918918917,mixed_profile,
