model_name,slice_name,rank,display_name,primary_era_bucket,score_normalized
baseline_conservative,top_100,86,Oliver Cromwell,early_modern,77.27912932138283
baseline_conservative,top_100,87,Joseph Souham,revolutionary_napoleonic,77.23431498079385
baseline_conservative,top_100,88,Ōyama Iwao,long_nineteenth_century,77.15749039692703
baseline_conservative,top_100,89,Nader Shah,early_modern,77.09346991037131
baseline_conservative,top_100,90,Genghis Khan,medieval,76.93021766965428
baseline_conservative,top_100,91,Tolui,medieval,76.76696542893725
baseline_conservative,top_100,92,Stanisław Koniecpolski,early_modern,76.66773367477593
baseline_conservative,top_100,93,Richmond K. Turner,world_wars,76.63892445582586
baseline_conservative,top_100,94,Mustafa Kemal Atatürk,world_wars,76.59731113956467
baseline_conservative,top_100,95,"Louis Joseph, Duke of Vendôme",early_modern,76.50768245838668
baseline_conservative,top_100,96,Sidney Smith,revolutionary_napoleonic,76.36363636363636
baseline_conservative,top_100,97,Mikhail Kutuzov,revolutionary_napoleonic,76.36043533930858
baseline_conservative,top_100,98,Friedrich Wilhelm Freiherr von Bülow,revolutionary_napoleonic,76.23559539052498
baseline_conservative,top_100,99,Abu Bakr,medieval,76.0819462227913
baseline_conservative,top_100,100,Joan of Arc,medieval,76.00512163892446
battle_only_baseline,top_25,1,Khalid ibn al-Walid,medieval,99.97383842611971
battle_only_baseline,top_25,2,Jean Lannes,revolutionary_napoleonic,99.81163666806196
battle_only_baseline,top_25,3,Napoleon Bonaparte,revolutionary_napoleonic,99.65466722478024
battle_only_baseline,top_25,4,Alexander Suvorov,revolutionary_napoleonic,99.63373796567602
battle_only_baseline,top_25,5,Takeda Shingen,early_modern,99.57618250313939
battle_only_baseline,top_25,6,Saladin,medieval,99.356425282545
battle_only_baseline,top_25,7,"Alexander Farnese, Duke of Parma",early_modern,99.35119296776894
battle_only_baseline,top_25,8,Louis-Nicolas Davout,revolutionary_napoleonic,99.21515278359146
battle_only_baseline,top_25,9,"Sébastien Le Prestre, Marquis of Vauban",early_modern,98.91167852658015
battle_only_baseline,top_25,10,Louis-Gabriel Suchet,revolutionary_napoleonic,98.81749686061114
battle_only_baseline,top_25,11,Amr ibn al-As,medieval,98.63436584344916
battle_only_baseline,top_25,12,Nathan Bedford Forrest,long_nineteenth_century,98.61866889912096
battle_only_baseline,top_25,13,Charles XIV John,revolutionary_napoleonic,98.59250732524069
battle_only_baseline,top_25,14,"Maurice, Prince of Orange",early_modern,98.51925491837588
battle_only_baseline,top_25,15,Abu Ubayda ibn al-Jarrah,medieval,98.50879028882377
battle_only_baseline,top_25,16,Hannibal,ancient,98.30473001255754
battle_only_baseline,top_25,17,Francis Vere,early_modern,98.04834658853076
battle_only_baseline,top_25,18,Katō Kiyomasa,early_modern,98.0326496442026
battle_only_baseline,top_25,19,P. G. T. Beauregard,long_nineteenth_century,97.9227710339054
battle_only_baseline,top_25,20,Stanisław Żółkiewski,early_modern,97.71871075763919
battle_only_baseline,top_25,21,Mahmud Pasha Angelović,medieval,97.62452909167015
battle_only_baseline,top_25,22,Fedor von Bock,world_wars,97.56174131435746
battle_only_baseline,top_25,23,"François-Henri de Montmorency, duc de Luxembourg",early_modern,97.48848890749267
battle_only_baseline,top_25,24,Lennart Torstensson,early_modern,97.48848890749267
battle_only_baseline,top_25,25,Maurice de Saxe,early_modern,97.45186270406026
battle_only_baseline,top_50,1,Khalid ibn al-Walid,medieval,99.97383842611971
battle_only_baseline,top_50,2,Jean Lannes,revolutionary_napoleonic,99.81163666806196
battle_only_baseline,top_50,3,Napoleon Bonaparte,revolutionary_napoleonic,99.65466722478024
battle_only_baseline,top_50,4,Alexander Suvorov,revolutionary_napoleonic,99.63373796567602
battle_only_baseline,top_50,5,Takeda Shingen,early_modern,99.57618250313939
battle_only_baseline,top_50,6,Saladin,medieval,99.356425282545
battle_only_baseline,top_50,7,"Alexander Farnese, Duke of Parma",early_modern,99.35119296776894
battle_only_baseline,top_50,8,Louis-Nicolas Davout,revolutionary_napoleonic,99.21515278359146
battle_only_baseline,top_50,9,"Sébastien Le Prestre, Marquis of Vauban",early_modern,98.91167852658015
battle_only_baseline,top_50,10,Louis-Gabriel Suchet,revolutionary_napoleonic,98.81749686061114
battle_only_baseline,top_50,11,Amr ibn al-As,medieval,98.63436584344916
battle_only_baseline,top_50,12,Nathan Bedford Forrest,long_nineteenth_century,98.61866889912096
battle_only_baseline,top_50,13,Charles XIV John,revolutionary_napoleonic,98.59250732524069
battle_only_baseline,top_50,14,"Maurice, Prince of Orange",early_modern,98.51925491837588
battle_only_baseline,top_50,15,Abu Ubayda ibn al-Jarrah,medieval,98.50879028882377
battle_only_baseline,top_50,16,Hannibal,ancient,98.30473001255754
battle_only_baseline,top_50,17,Francis Vere,early_modern,98.04834658853076
battle_only_baseline,top_50,18,Katō Kiyomasa,early_modern,98.0326496442026
battle_only_baseline,top_50,19,P. G. T. Beauregard,long_nineteenth_century,97.9227710339054
battle_only_baseline,top_50,20,Stanisław Żółkiewski,early_modern,97.71871075763919
battle_only_baseline,top_50,21,Mahmud Pasha Angelović,medieval,97.62452909167015
battle_only_baseline,top_50,22,Fedor von Bock,world_wars,97.56174131435746
battle_only_baseline,top_50,23,"François-Henri de Montmorency, duc de Luxembourg",early_modern,97.48848890749267
battle_only_baseline,top_50,24,Lennart Torstensson,early_modern,97.48848890749267
battle_only_baseline,top_50,25,Maurice de Saxe,early_modern,97.45186270406026
battle_only_baseline,top_50,26,Robert L. Eichelberger,world_wars,97.40477187107575
battle_only_baseline,top_50,27,Walter Krueger,world_wars,97.40477187107575
battle_only_baseline,top_50,28,Subutai,medieval,97.2791963164504
battle_only_baseline,top_50,29,John Monash,world_wars,97.23210548346589
battle_only_baseline,top_50,30,Jan Karol Chodkiewicz,early_modern,97.19024696525742
battle_only_baseline,top_50,31,Karađorđe Petrović,revolutionary_napoleonic,97.18501465048138
battle_only_baseline,top_50,32,André Masséna,revolutionary_napoleonic,97.08560066973628
battle_only_baseline,top_50,33,Arthur Currie,world_wars,97.04897446630389
battle_only_baseline,top_50,34,Oliver Cromwell,early_modern,96.89723733779824
battle_only_baseline,top_50,35,Matvei Platov,revolutionary_napoleonic,96.81352030138135
battle_only_baseline,top_50,36,Ferdinand Foch,world_wars,96.72980326496443
battle_only_baseline,top_50,37,Baybars,medieval,96.69840937630808
battle_only_baseline,top_50,38,Ubadah ibn al-Samit,medieval,96.66701548765174
battle_only_baseline,top_50,39,Alexander the Great,ancient,96.5728338216827
battle_only_baseline,top_50,40,Jeremi Wiśniowiecki,early_modern,96.49434910004186
battle_only_baseline,top_50,41,Jean Victor Marie Moreau,revolutionary_napoleonic,96.48388447048976
battle_only_baseline,top_50,42,Louis XIV,early_modern,96.41586437840101
battle_only_baseline,top_50,43,"Henri de La Tour d'Auvergne, Viscount of Turenne",early_modern,96.32168271243198
battle_only_baseline,top_50,44,Cardinal-Infante Ferdinand of Austria,early_modern,96.25889493511929
battle_only_baseline,top_50,45,Erich Hoepner,world_wars,96.00774382586857
battle_only_baseline,top_50,46,Charles XII of Sweden,early_modern,95.99727919631646
battle_only_baseline,top_50,47,Charles Mangin,world_wars,95.99204688154039
battle_only_baseline,top_50,48,Mehmed II,medieval,95.95018836333193
battle_only_baseline,top_50,49,Robert Clive,early_modern,95.72519882796149
battle_only_baseline,top_50,50,Belisarius,medieval,95.61008790288824
battle_only_baseline,top_100,1,Khalid ibn al-Walid,medieval,99.97383842611971
battle_only_baseline,top_100,2,Jean Lannes,revolutionary_napoleonic,99.81163666806196
battle_only_baseline,top_100,3,Napoleon Bonaparte,revolutionary_napoleonic,99.65466722478024
battle_only_baseline,top_100,4,Alexander Suvorov,revolutionary_napoleonic,99.63373796567602
battle_only_baseline,top_100,5,Takeda Shingen,early_modern,99.57618250313939
battle_only_baseline,top_100,6,Saladin,medieval,99.356425282545
battle_only_baseline,top_100,7,"Alexander Farnese, Duke of Parma",early_modern,99.35119296776894
battle_only_baseline,top_100,8,Louis-Nicolas Davout,revolutionary_napoleonic,99.21515278359146
battle_only_baseline,top_100,9,"Sébastien Le Prestre, Marquis of Vauban",early_modern,98.91167852658015
battle_only_baseline,top_100,10,Louis-Gabriel Suchet,revolutionary_napoleonic,98.81749686061114
battle_only_baseline,top_100,11,Amr ibn al-As,medieval,98.63436584344916
battle_only_baseline,top_100,12,Nathan Bedford Forrest,long_nineteenth_century,98.61866889912096
battle_only_baseline,top_100,13,Charles XIV John,revolutionary_napoleonic,98.59250732524069
battle_only_baseline,top_100,14,"Maurice, Prince of Orange",early_modern,98.51925491837588
battle_only_baseline,top_100,15,Abu Ubayda ibn al-Jarrah,medieval,98.50879028882377
battle_only_baseline,top_100,16,Hannibal,ancient,98.30473001255754
battle_only_baseline,top_100,17,Francis Vere,early_modern,98.04834658853076
battle_only_baseline,top_100,18,Katō Kiyomasa,early_modern,98.0326496442026
battle_only_baseline,top_100,19,P. G. T. Beauregard,long_nineteenth_century,97.9227710339054
battle_only_baseline,top_100,20,Stanisław Żółkiewski,early_modern,97.71871075763919
battle_only_baseline,top_100,21,Mahmud Pasha Angelović,medieval,97.62452909167015
battle_only_baseline,top_100,22,Fedor von Bock,world_wars,97.56174131435746
battle_only_baseline,top_100,23,"François-Henri de Montmorency, duc de Luxembourg",early_modern,97.48848890749267
battle_only_baseline,top_100,24,Lennart Torstensson,early_modern,97.48848890749267
battle_only_baseline,top_100,25,Maurice de Saxe,early_modern,97.45186270406026
battle_only_baseline,top_100,26,Robert L. Eichelberger,world_wars,97.40477187107575
battle_only_baseline,top_100,27,Walter Krueger,world_wars,97.40477187107575
battle_only_baseline,top_100,28,Subutai,medieval,97.2791963164504
battle_only_baseline,top_100,29,John Monash,world_wars,97.23210548346589
battle_only_baseline,top_100,30,Jan Karol Chodkiewicz,early_modern,97.19024696525742
battle_only_baseline,top_100,31,Karađorđe Petrović,revolutionary_napoleonic,97.18501465048138
battle_only_baseline,top_100,32,André Masséna,revolutionary_napoleonic,97.08560066973628
battle_only_baseline,top_100,33,Arthur Currie,world_wars,97.04897446630389
battle_only_baseline,top_100,34,Oliver Cromwell,early_modern,96.89723733779824
battle_only_baseline,top_100,35,Matvei Platov,revolutionary_napoleonic,96.81352030138135
battle_only_baseline,top_100,36,Ferdinand Foch,world_wars,96.72980326496443
battle_only_baseline,top_100,37,Baybars,medieval,96.69840937630808
battle_only_baseline,top_100,38,Ubadah ibn al-Samit,medieval,96.66701548765174
battle_only_baseline,top_100,39,Alexander the Great,ancient,96.5728338216827
battle_only_baseline,top_100,40,Jeremi Wiśniowiecki,early_modern,96.49434910004186
battle_only_baseline,top_100,41,Jean Victor Marie Moreau,revolutionary_napoleonic,96.48388447048976
battle_only_baseline,top_100,42,Louis XIV,early_modern,96.41586437840101
battle_only_baseline,top_100,43,"Henri de La Tour d'Auvergne, Viscount of Turenne",early_modern,96.32168271243198
battle_only_baseline,top_100,44,Cardinal-Infante Ferdinand of Austria,early_modern,96.25889493511929
battle_only_baseline,top_100,45,Erich Hoepner,world_wars,96.00774382586857
battle_only_baseline,top_100,46,Charles XII of Sweden,early_modern,95.99727919631646
battle_only_baseline,top_100,47,Charles Mangin,world_wars,95.99204688154039
battle_only_baseline,top_100,48,Mehmed II,medieval,95.95018836333193
battle_only_baseline,top_100,49,Robert Clive,early_modern,95.72519882796149
battle_only_baseline,top_100,50,Belisarius,medieval,95.61008790288824
battle_only_baseline,top_100,51,Konishi Yukinaga,early_modern,95.58392632900795
battle_only_baseline,top_100,52,Alasdair Mac Colla,early_modern,95.56822938467978
battle_only_baseline,top_100,53,Heinz Guderian,world_wars,95.45835077438258
battle_only_baseline,top_100,54,Stanisław Koniecpolski,early_modern,95.3955629970699
battle_only_baseline,top_100,55,Bernard Montgomery,world_wars,95.28568438677272
battle_only_baseline,top_100,56,Mikhail Kutuzov,revolutionary_napoleonic,95.26998744244455
battle_only_baseline,top_100,57,Alauddin Khalji,medieval,95.24382586856424
battle_only_baseline,top_100,58,Kuroda Yoshitaka,early_modern,95.24382586856424
battle_only_baseline,top_100,59,Prince Friedrich Karl of Prussia,long_nineteenth_century,95.17580577647551
battle_only_baseline,top_100,60,Ivan Paskevich,long_nineteenth_century,95.14964420259523
battle_only_baseline,top_100,61,Jerzy Sebastian Lubomirski,early_modern,95.14964420259523
battle_only_baseline,top_100,62,Maeda Toshiie,early_modern,94.86709920468815
battle_only_baseline,top_100,63,Babur,early_modern,94.73629133528674
battle_only_baseline,top_100,64,Al-Qa'qa' ibn Amr al-Tamimi,medieval,94.71012976140645
battle_only_baseline,top_100,65,Qutb ud-Din Aibak,medieval,94.71012976140645
battle_only_baseline,top_100,66,Hari Singh Nalwa,long_nineteenth_century,94.67873587275011
battle_only_baseline,top_100,67,Émile Fayolle,world_wars,94.58455420678109
battle_only_baseline,top_100,68,Sarath Fonseka,contemporary,94.38049393051486
battle_only_baseline,top_100,69,Philip the Good,medieval,94.04562578484722
battle_only_baseline,top_100,70,Sidney Smith,revolutionary_napoleonic,93.93574717455002
battle_only_baseline,top_100,71,Joseph Souham,revolutionary_napoleonic,93.88865634156551
battle_only_baseline,top_100,72,Ōyama Iwao,long_nineteenth_century,93.85726245290917
battle_only_baseline,top_100,73,Mikołaj Potocki,early_modern,93.66889912097112
battle_only_baseline,top_100,74,Constantine the Great,ancient,93.5014650481373
battle_only_baseline,top_100,75,Wolfram von Richthofen,world_wars,93.5014650481373
battle_only_baseline,top_100,76,Friedrich Wilhelm Freiherr von Bülow,revolutionary_napoleonic,93.48053578903307
battle_only_baseline,top_100,77,Abu Bakr,medieval,93.41774801172039
battle_only_baseline,top_100,78,Joan of Arc,medieval,93.38635412306404
battle_only_baseline,top_100,79,Douglas MacArthur,world_wars,93.33926329007954
battle_only_baseline,top_100,80,Antonio Duvergé,long_nineteenth_century,93.33926329007951
battle_only_baseline,top_100,81,Allen H. Turnage,world_wars,93.19799079112599
battle_only_baseline,top_100,82,Juan Yagüe,world_wars,93.19799079112599
battle_only_baseline,top_100,83,Smedley Butler,long_nineteenth_century,93.19799079112599
battle_only_baseline,top_100,84,Enver Pasha,world_wars,93.19799079112599
battle_only_baseline,top_100,85,Batu Khan,medieval,93.10904143993302
battle_only_baseline,top_100,86,Hubert Gough,world_wars,93.07764755127667
battle_only_baseline,top_100,87,Shurahbil ibn Hasana,medieval,93.04102134784429
battle_only_baseline,top_100,88,Winfield Scott,long_nineteenth_century,92.9782335705316
battle_only_baseline,top_100,89,Harry Chauvel,world_wars,92.89974884889075
battle_only_baseline,top_100,90,Date Masamune,early_modern,92.83696107157806
battle_only_baseline,top_100,91,Manuel Belgrano,revolutionary_napoleonic,92.81079949769779
battle_only_baseline,top_100,92,Hans Karl von Diebitsch,long_nineteenth_century,92.74801172038511
battle_only_baseline,top_100,93,Jubal Early,long_nineteenth_century,92.51255755546254
battle_only_baseline,top_100,94,Agha Petros,world_wars,92.46023440770196
