score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_sustained_scale,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags,rank,rank_role_weighted,rank_change_vs_hierarchical_trust_v2,score_normalized,score_role_weighted,role_adjustment_factor,mean_role_confidence,dominant_role_class,share_direct_field_command,share_unclear_role,share_nominal_or_political,broad_page_contribution_share,battle_siege_page_contribution_share,strict_eligibility,exclude_from_headline_ranking,recommended_action
qualified,acmd_9ff2a49c101f,Gonzalo Fernández de Córdoba,https://en.wikipedia.org/wiki/Gonzalo_Fern%C3%A1ndez_de_C%C3%B3rdoba,early_modern,5,5,0,0,0,5,1.0,0.212422817737011,62.980318650421744,31.208997188378635,44.22055607622618,45.54826616682287,25.44517338331772,18.181818181818183,88.89409559512652,8,0.0,battle_dominant,,614,608,-6,43.604723523898784,28.98437175066914,0.7610242928042089,0.49375,principal_field_commander,1.0,0.0,0.0,0.0,1.0,eligible_field_commander,False,retain
qualified,acmd_c2525ed86013,Helmuth von Moltke the Elder,https://en.wikipedia.org/wiki/Helmuth_von_Moltke_the_Elder,long_nineteenth_century,7,5,0,0,2,3,0.4285714285714285,0.3,75.58575445173383,42.22118088097469,48.54732895970009,29.194001874414244,38.80037488284911,64.1518275538894,7.591377694470477,4,0.1228070175438596,battle_dominant,,487,609,122,48.9381443298969,28.966692588612833,0.677672057976579,0.49375,wing_or_corps_commander,0.9370080629679401,0.0629919370320599,0.0,0.0,1.0,eligible_field_commander,False,retain
qualified,acmd_b4d742962b67,Harry Crerar,https://en.wikipedia.org/wiki/Harry_Crerar,world_wars,5,2,3,0,0,4,0.8,0.3555555555555555,84.20805998125586,8.716026241799439,54.99843798812871,8.481724461105905,13.683223992502343,89.12839737582006,28.069353327085285,1,0.5454545454545455,operation_heavy,higher_level_dependent | thin_battle_anchor,617,610,-7,43.49004686035614,28.8603783878599,0.753031277516529,0.525,coalition_commander,0.6647808325093316,0.0,0.0,0.675632,0.324368,ambiguous_requires_review,False,add_high_level_page_caveat
qualified,acmd_dd4eeaf6563c,Jalal al-Din Mangburni,https://en.wikipedia.org/wiki/Jalal_al-Din_Mangburni,medieval,7,6,0,0,1,6,0.8571428571428571,-0.1328834553655868,20.4311152764761,51.218369259606376,48.54732895970009,45.54826616682287,51.452671040299904,47.46954076850984,59.27835051546392,8,0.0551181102362204,battle_dominant,,722,611,-111,39.11636363636362,28.79860439615987,0.8321584572857682,0.5388888888888889,principal_field_commander,0.960352127301707,0.03964787269829308,0.0,0.041162,0.958838,eligible_field_commander,False,retain
qualified,acmd_31223ec6c4b9,Charles XI of Sweden,https://en.wikipedia.org/wiki/Charles_XI_of_Sweden,early_modern,5,3,0,0,2,4,0.8,0.3232463297758979,79.66260543580131,5.295220243673851,42.752264917213374,8.481724461105905,2.95220243673852,64.1518275538894,66.68228678537957,1,0.1891891891891891,mixed_profile,,717,612,-105,39.45180880974695,28.770475915815464,0.8310611890735446,0.51,principal_field_commander,0.9579137534967658,0.04208624650323414,0.0,0.010864,0.989136,eligible_field_commander,False,retain
qualified,acmd_34d04d990889,Manuel Bulnes,https://en.wikipedia.org/wiki/Manuel_Bulnes,long_nineteenth_century,7,6,0,0,1,3,0.4285714285714285,0.0111705190506654,37.3477038425492,25.49203373945642,54.99843798812871,77.83505154639175,51.452671040299904,47.46954076850984,5.670103092783505,21,0.0551181102362204,battle_dominant,,668,613,-55,41.36,28.765128713996617,0.7836415047265268,0.55,principal_field_commander,0.9757436309705319,0.024256369029468018,0.0,0.0,1.0,eligible_field_commander,False,retain
qualified,acmd_15e60cf908d2,Pavlos Kountouriotis,https://en.wikipedia.org/wiki/Pavlos_Kountouriotis,long_nineteenth_century,5,3,0,0,2,4,0.8,0.3555555555555555,84.20805998125586,4.826616682286786,38.7691346454233,8.481724461105905,2.95220243673852,64.1518275538894,66.68228678537957,1,0.1891891891891891,mixed_profile,,703,614,-89,40.06584817244611,28.747443460529112,0.8301709896968735,0.4571428571428572,principal_field_commander,0.9559355326597192,0.0440644673402809,0.0,0.021387,0.978613,eligible_field_commander,False,retain
qualified,acmd_259ad60364c2,Niwa Nagahide,https://en.wikipedia.org/wiki/Niwa_Nagahide,early_modern,10,9,0,0,1,7,0.7,0.0618125773862906,43.01780693533271,65.69821930646673,38.7691346454233,90.72164948453609,77.4601686972821,47.46954076850984,34.910965323336455,30,0.0374331550802139,battle_dominant,,343,615,272,55.44704779756326,28.7281543529103,0.5846191668231995,0.545,wing_or_corps_commander,0.9778690257751236,0.022130974224876327,0.0,0.0,1.0,eligible_field_commander,False,retain
qualified,acmd_9eebcf4a735d,"Prince William, Duke of Cumberland",https://en.wikipedia.org/wiki/Prince_William%2C_Duke_of_Cumberland,early_modern,9,8,0,0,1,5,0.5555555555555556,-0.0959880759004107,24.92970946579194,45.92314901593252,60.09059668853484,55.95126522961574,71.36832239925025,47.46954076850984,14.948453608247425,12,0.0419161676646706,battle_dominant,,658,616,-42,41.69565135895033,28.67995508672394,0.7666333053314266,0.588888888888889,principal_field_commander,0.9825597108991375,0.017440289100862403,0.0,0.0,1.0,eligible_field_commander,False,retain
qualified,acmd_ca98f5269938,William Henry Harrison,https://en.wikipedia.org/wiki/William_Henry_Harrison,revolutionary_napoleonic,5,3,0,0,2,3,0.6,0.3,75.58575445173383,10.684161199625116,48.54732895970009,15.510777881911904,2.95220243673852,64.1518275538894,39.4095595126523,2,0.1891891891891891,mixed_profile,,708,617,-91,39.885248359887534,28.605585052329445,0.8255506359007942,0.47500000000000003,principal_field_commander,0.9456680797795428,0.05433192022045719,0.0,0.0,1.0,eligible_field_commander,False,retain
