rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_sustained_scale,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags,broad_page_contribution_share,battle_siege_page_contribution_share,strict_eligibility,exclude_from_headline_ranking,recommended_action,high_level_cap,high_level_cap_adjustment_factor,score_high_level_capped,rank_high_level_capped,rank_change_vs_hierarchical_trust_v2
179,66.3090909090909,solid,acmd_c5eabdc2f47c,Matthew Ridgway,https://en.wikipedia.org/wiki/Matthew_Ridgway,cold_war,8,6,1,0,1,6,0.75,0.2970574810649775,73.66447985004686,61.996251171508895,90.37800687285224,42.68978444236176,62.183692596063736,78.25679475164011,33.0834114339269,7,0.1608391608391608,battle_dominant,,0.170962,0.829038,eligible_field_commander,False,retain,0.4,1.0,66.3090909090909,165,-14
180,66.28818181818183,solid,acmd_908f103551ad,Henri Gouraud,https://en.wikipedia.org/wiki/Henri_Gouraud,world_wars,7,5,1,0,1,6,0.8571428571428571,0.4363636363636363,95.12652296157452,68.69728209934397,65.58887847547642,15.510777881911904,48.73477038425492,78.25679475164011,57.40393626991565,2,0.1869918699186991,battle_dominant,,0.18481,0.81519,eligible_field_commander,False,retain,0.4,1.0,66.28818181818183,166,-14
181,66.27647610121836,solid,acmd_6a6618f975fe,Gebhard Leberecht von Blücher,https://en.wikipedia.org/wiki/Gebhard_Leberecht_von_Bl%C3%BCcher,revolutionary_napoleonic,20,18,0,0,2,17,0.85,0.0981250106722276,48.547328959700096,95.8762886597938,66.2293033427054,48.21930646672914,95.8762886597938,64.1518275538894,58.4817244611059,9,0.0374331550802139,battle_dominant,,0.017181,0.982819,eligible_field_commander,False,retain,0.4,1.0,66.27647610121836,167,-14
182,66.12363636363636,solid,acmd_de73e1aca036,Jerzy Sebastian Lubomirski,https://en.wikipedia.org/wiki/Jerzy_Sebastian_Lubomirski,early_modern,7,7,0,0,0,7,1.0,0.4666666666666668,97.37582005623244,73.71134020618557,39.80006248047485,50.32802249297095,58.90346766635426,18.181818181818183,88.89409559512652,10,0.0,battle_dominant,,0.0,1.0,eligible_field_commander,False,retain,0.4,1.0,66.12363636363636,168,-14
183,66.02000000000001,solid,acmd_417edae47af2,Ras Alula,https://en.wikipedia.org/wiki/Ras_Alula,long_nineteenth_century,6,4,0,0,2,6,1.0,0.4363636363636363,94.23617619493908,48.5941893158388,60.09059668853484,77.83505154639175,15.979381443298967,64.1518275538894,88.89409559512652,21,0.1489361702127659,mixed_profile,,0.083253,0.916747,eligible_field_commander,False,retain,0.4,1.0,66.02000000000001,169,-14
184,66.00187441424553,solid,acmd_db122e03fe49,Toyotomi Hideyoshi,https://en.wikipedia.org/wiki/Toyotomi_Hideyoshi,early_modern,16,15,0,0,1,11,0.6875,0.1631435711027638,56.60731021555764,89.97188378631678,48.54732895970009,81.30271790065603,92.36176194939084,47.46954076850984,27.835051546391757,23,0.022801302931596,battle_dominant,,0.034681,0.965319,eligible_siege_or_engineering_commander,False,retain,0.4,1.0,66.00187441424553,170,-14
185,65.72818181818182,solid,acmd_e6bbbc6f64c7,"Nizam-ul-Mulk, Asaf Jah I",https://en.wikipedia.org/wiki/Nizam-ul-Mulk%2C_Asaf_Jah_I,early_modern,7,7,0,0,0,6,0.8571428571428571,0.3169532969890405,79.00656044985942,71.41518275538894,47.922524211184005,96.29803186504218,58.90346766635426,18.181818181818183,61.52764761012184,39,0.0,battle_dominant,,0.0,1.0,eligible_siege_or_engineering_commander,False,retain,0.4,1.0,65.72818181818182,171,-14
67,76.86129334582941,strong,acmd_3435325eb9b0,George S. Patton,https://en.wikipedia.org/wiki/George_S._Patton,world_wars,11,6,5,0,0,10,0.9090909090909092,0.4289436278536494,93.72071227741333,86.5979381443299,67.69759450171821,22.492970946579195,80.50609184629803,95.64198687910029,65.22961574507966,3,0.4,operation_heavy,,0.488468,0.511532,eligible_field_commander,False,add_high_level_page_caveat,0.4,0.8525533333333333,65.52835184629801,172,105
186,65.52014995313965,solid,acmd_4931ba4c414b,Mikołaj Potocki,https://en.wikipedia.org/wiki/Miko%C5%82aj_Potocki,early_modern,8,8,0,0,0,6,0.75,0.3834348259065093,88.47235238987817,68.41611996251171,44.89222118088097,61.34020618556701,68.50984067478912,18.181818181818183,37.76944704779756,14,0.0,battle_dominant,,0.0,1.0,eligible_field_commander,False,retain,0.4,1.0,65.52014995313965,173,-13
187,65.44142455482663,solid,acmd_4710d6848864,Yasuji Okamura,https://en.wikipedia.org/wiki/Yasuji_Okamura,world_wars,10,7,2,0,1,10,1.0,0.1231705019902708,51.82755388940956,82.84910965323337,70.68103717588254,42.68978444236176,73.66447985004686,86.26991565135896,88.89409559512652,7,0.2178770949720671,battle_dominant,,0.144449,0.855551,eligible_field_commander,False,retain,0.4,1.0,65.44142455482663,174,-13
188,65.31115276476102,solid,acmd_ae7f67464a94,Chiang Kai-shek,https://en.wikipedia.org/wiki/Chiang_Kai-shek,world_wars,20,9,2,0,9,9,0.45,-0.1659805385984866,17.713214620431113,94.65791940018744,96.3917525773196,84.20805998125586,90.62792877225868,96.62605435801312,7.216494845360824,25,0.3454545454545454,mixed_profile,,0.299267,0.700733,eligible_field_commander,False,retain,0.4,1.0,65.31115276476102,175,-13
189,65.26148078725397,solid,acmd_db25c624f2c4,Ngô Quang Trưởng,https://en.wikipedia.org/wiki/Ng%C3%B4_Quang_Tr%C6%B0%E1%BB%9Fng,cold_war,13,8,5,0,0,10,0.7692307692307693,0.2117829494883197,62.79287722586692,77.78819119025304,48.54732895970009,45.54826616682287,87.20712277413308,95.64198687910029,62.55857544517338,8,0.3333333333333333,mixed_profile,,0.121442,0.878558,eligible_field_commander,False,retain,0.4,1.0,65.26148078725397,176,-13
190,65.26054358013121,solid,acmd_748807c2a3ef,Li Zongren,https://en.wikipedia.org/wiki/Li_Zongren,world_wars,13,7,2,0,4,12,0.9230769230769232,0.0226585570255456,38.23805060918463,90.06560449859418,76.81974383005311,52.95220243673852,80.50609184629803,91.61199625117152,77.08528584817245,11,0.3,mixed_profile,,0.26453,0.73547,eligible_field_commander,False,retain,0.4,1.0,65.26054358013121,177,-13
191,65.22399250234302,solid,acmd_5386326f6bd7,"Johann Tserclaes, Count of Tilly",https://en.wikipedia.org/wiki/Johann_Tserclaes%2C_Count_of_Tilly,early_modern,14,12,0,0,2,9,0.6428571428571429,0.1847066522881082,59.60637300843487,86.97282099343954,54.99843798812871,55.95126522961574,88.94095595126524,64.1518275538894,28.444236176194934,12,0.0551181102362204,battle_dominant,,0.0,1.0,eligible_field_commander,False,retain,0.4,1.0,65.22399250234302,178,-13
82,75.19868791002811,strong,acmd_d1625dd6e2c5,Joseph Stalin,https://en.wikipedia.org/wiki/Joseph_Stalin,world_wars,17,5,6,0,6,10,0.5882352941176471,0.1034648048722502,49.76569821930647,92.8772258669166,96.04810996563576,79.70946579194002,86.41049671977507,99.2502343017807,27.647610121836923,22,0.5798319327731093,mixed_profile,higher_level_dependent,0.481762,0.518238,eligible_field_commander,False,add_high_level_page_caveat,0.4,0.86373,64.95136270852858,179,97
