model_name,page_type_profile_class,rank_in_profile,global_rank,display_name,score_normalized,primary_era_bucket
baseline_conservative,battle_dominant,244,244,Prince Eugene of Savoy,60.91549295774648,early_modern
baseline_conservative,battle_dominant,245,245,Craterus,60.87387964148527,ancient
baseline_conservative,battle_dominant,246,246,Murari Rao,60.72023047375159,early_modern
baseline_conservative,battle_dominant,247,247,Shavendra Silva,60.65300896286812,contemporary
baseline_conservative,battle_dominant,248,248,Burkhard Christoph von Münnich,60.64660691421255,early_modern
baseline_conservative,battle_dominant,249,249,Eugène de Beauharnais,60.63380281690141,revolutionary_napoleonic
baseline_conservative,battle_dominant,250,250,Günther von Kluge,60.5921895006402,world_wars
baseline_conservative,battle_dominant,251,251,Uesugi Kagekatsu,60.48015364916773,early_modern
baseline_conservative,battle_dominant,252,252,Mahmud of Ghazni,60.467349551856586,medieval
baseline_conservative,battle_dominant,253,253,Tōdō Takatora,60.20806658130603,early_modern
baseline_conservative,battle_dominant,254,254,Ismail I,60.13444302176697,early_modern
baseline_conservative,battle_dominant,255,255,Sakakibara Yasumasa,60.028809218950066,early_modern
baseline_conservative,battle_dominant,256,256,Prince Josias of Saxe-Coburg-Saalfeld,59.79833546734955,revolutionary_napoleonic
baseline_conservative,battle_dominant,257,257,"Henry de Nassau, Lord Overkirk",59.414212548015364,early_modern
baseline_conservative,battle_dominant,258,258,Aleksey Yermolov,59.391805377720864,revolutionary_napoleonic
baseline_conservative,battle_dominant,259,259,Peter the Great,59.26056338028169,early_modern
baseline_conservative,battle_dominant,260,260,Joseph E. Johnston,59.16133162612036,long_nineteenth_century
baseline_conservative,battle_dominant,261,261,Michel Ney,59.02368758002561,revolutionary_napoleonic
baseline_conservative,battle_dominant,262,262,Joseph Wheeler,59.01088348271447,long_nineteenth_century
baseline_conservative,battle_dominant,263,263,Tughril I,58.95646606914212,medieval
baseline_conservative,battle_dominant,264,264,Sō Yoshitoshi,58.90524967989758,early_modern
baseline_conservative,battle_dominant,265,265,Gustav Horn,58.81562099871959,early_modern
baseline_conservative,battle_dominant,266,266,Roy Geiger,58.64916773367478,world_wars
baseline_conservative,battle_dominant,267,267,Andrew Jackson,58.59795134443023,revolutionary_napoleonic
