display_name,canonical_wikipedia_url,primary_era_bucket,interpretive_era,interpretive_group,trust_confidence_v2,best_rank,worst_rank,rank_range,mean_rank,top10_appearances,top25_appearances,rank_baseline_conservative,rank_battle_only_baseline,rank_hierarchical_trust_v2,rank_hierarchical_weighted,rank_hierarchical_full_credit,rank_hierarchical_equal_split,rank_hierarchical_broader_eligibility,known_outcome_count,total_engagements_strict,total_battle_pages_strict,distinct_conflicts_strict,page_type_exposure_summary,stability_label,caution_flags,dominant_sensitivity_driver,interpretive_reason
Maharaja Ranjit Singh,https://en.wikipedia.org/wiki/Ranjit_Singh,long_nineteenth_century,modern,model_sensitive_band,caution,17.0,196.0,179.0,74.83333333333333,0,3,196.0,158.0,22.0,18.0,34.0,17.0,38.0,9,11,8,6,B=8; O=0; C=0; W=3,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Lennart Torstensson,https://en.wikipedia.org/wiki/Lennart_Torstensson,early_modern,early_modern,model_sensitive_band,caution,24.0,123.0,99.0,75.5,0,1,51.0,24.0,96.0,70.0,69.0,89.0,123.0,8,12,10,3,B=10; O=0; C=0; W=2,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Date Masamune,https://en.wikipedia.org/wiki/Date_Masamune,early_modern,early_modern,model_sensitive_band,caution,34.0,128.0,94.0,75.66666666666667,0,0,128.0,90.0,95.0,34.0,30.0,41.0,66.0,6,7,6,7,B=6; O=0; C=0; W=1,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Peter Wittgenstein,https://en.wikipedia.org/wiki/Peter_Wittgenstein,revolutionary_napoleonic,modern,model_sensitive_band,caution,48.0,118.0,70.0,75.66666666666667,0,0,59.0,97.0,48.0,64.0,142.0,68.0,118.0,14,16,15,9,B=15; O=0; C=0; W=1,highly_model_sensitive,,credit_rule_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Petar Bojović,https://en.wikipedia.org/wiki/Petar_Bojovi%C4%87,long_nineteenth_century,modern,model_sensitive_band,caution,8.0,263.0,255.0,78.4,1,2,,263.0,66.0,20.0,21.0,35.0,8.0,7,9,4,7,B=4; O=3; C=0; W=2,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Ahmad Shah Durrani,https://en.wikipedia.org/wiki/Ahmad_Shah_Durrani,early_modern,early_modern,model_sensitive_band,caution,55.0,123.0,68.0,82.5,0,0,67.0,123.0,68.0,77.0,63.0,55.0,105.0,9,10,9,8,,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Fyodor Tolbukhin,https://en.wikipedia.org/wiki/Fyodor_Tolbukhin,world_wars,modern,model_sensitive_band,caution,41.0,179.0,138.0,83.66666666666667,0,0,179.0,145.0,43.0,47.0,46.0,47.0,41.0,11,13,5,8,B=5; O=8; C=0; W=0,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Ögedei Khan,https://en.wikipedia.org/wiki/%C3%96gedei_Khan,medieval,medieval,model_sensitive_band,caution,35.0,218.0,183.0,84.5,0,0,108.0,218.0,35.0,46.0,32.0,54.0,46.0,12,12,9,7,B=9; O=0; C=0; W=3,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Nikolai Vatutin,https://en.wikipedia.org/wiki/Nikolai_Vatutin,world_wars,modern,model_sensitive_band,caution,39.0,156.0,117.0,84.5,0,0,142.0,156.0,44.0,51.0,55.0,75.0,39.0,12,13,8,8,B=8; O=5; C=0; W=0,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Frederick the Great,https://en.wikipedia.org/wiki/Frederick_the_Great,early_modern,early_modern,model_sensitive_band,caution,29.0,192.0,163.0,84.66666666666667,0,0,62.0,192.0,29.0,65.0,43.0,65.0,95.0,24,26,21,11,B=21; O=0; C=0; W=5,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Charles-Pierre Augereau,https://en.wikipedia.org/wiki/Charles-Pierre_Augereau,revolutionary_napoleonic,modern,model_sensitive_band,caution,31.0,199.0,168.0,85.0,0,0,63.0,199.0,31.0,69.0,37.0,80.0,68.0,26,29,24,14,B=24; O=0; C=0; W=5,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Sayenqueraghta,https://en.wikipedia.org/wiki/Sayenqueraghta,early_modern,early_modern,model_sensitive_band,caution,48.0,165.0,117.0,90.5,0,0,121.0,165.0,65.0,54.0,115.0,48.0,90.0,9,9,7,7,B=7; O=0; C=0; W=2,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Tokugawa Ieyasu,https://en.wikipedia.org/wiki/Tokugawa_Ieyasu,early_modern,early_modern,model_sensitive_band,caution,38.0,191.0,153.0,94.5,0,0,81.0,191.0,38.0,53.0,24.0,102.0,102.0,12,14,13,8,B=13; O=0; C=0; W=1,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Carl Gustaf Wrangel,https://en.wikipedia.org/wiki/Carl_Gustaf_Wrangel,early_modern,early_modern,model_sensitive_band,caution,77.0,127.0,50.0,97.33333333333333,0,0,127.0,121.0,87.0,93.0,74.0,79.0,77.0,8,10,9,8,,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
